VIRTUALBENCH-LOGGER 2.1 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	15:56:51	04/09/2016

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	Ch0(V)
04/09/2016	15:59:12.8	    -3.228
04/09/2016	15:59:12.9	    -3.227
04/09/2016	15:59:13.0	    -3.227
04/09/2016	15:59:13.1	    -3.225
04/09/2016	15:59:13.2	    -3.225
04/09/2016	15:59:13.3	    -3.228
04/09/2016	15:59:13.4	    -3.229
04/09/2016	15:59:13.5	    -3.226
04/09/2016	15:59:13.6	    -3.226
04/09/2016	15:59:13.7	    -3.227
04/09/2016	15:59:13.8	    -3.224
04/09/2016	15:59:13.9	    -3.226
04/09/2016	15:59:14.0	    -3.226
04/09/2016	15:59:14.1	    -3.227
04/09/2016	15:59:14.2	    -3.225
04/09/2016	15:59:14.3	    -3.225
04/09/2016	15:59:14.4	    -3.227
04/09/2016	15:59:14.5	    -3.224
04/09/2016	15:59:14.6	    -3.226
04/09/2016	15:59:14.7	    -3.227
04/09/2016	15:59:14.8	    -3.227
04/09/2016	15:59:14.9	    -3.223
04/09/2016	15:59:15.0	    -3.224
04/09/2016	15:59:15.1	    -3.227
04/09/2016	15:59:15.2	    -3.227
04/09/2016	15:59:15.3	    -3.223
04/09/2016	15:59:15.4	    -3.224
04/09/2016	15:59:15.5	    -3.227
04/09/2016	15:59:15.6	    -3.225
04/09/2016	15:59:15.7	    -3.223
04/09/2016	15:59:15.8	    -3.226
04/09/2016	15:59:15.9	    -3.225
04/09/2016	15:59:16.0	    -3.228
04/09/2016	15:59:16.1	    -3.223
04/09/2016	15:59:16.2	    -3.230
04/09/2016	15:59:16.3	    -3.226
04/09/2016	15:59:16.4	    -3.205
04/09/2016	15:59:16.5	    -3.187
04/09/2016	15:59:16.6	    -3.164
04/09/2016	15:59:16.7	    -3.137
04/09/2016	15:59:16.8	    -3.105
04/09/2016	15:59:16.9	    -3.073
04/09/2016	15:59:17.0	    -3.031
04/09/2016	15:59:17.1	    -3.004
04/09/2016	15:59:17.2	    -2.968
04/09/2016	15:59:17.3	    -2.929
04/09/2016	15:59:17.4	    -2.889
04/09/2016	15:59:17.5	    -2.848
04/09/2016	15:59:17.6	    -2.805
04/09/2016	15:59:17.7	    -2.761
04/09/2016	15:59:17.8	    -2.711
04/09/2016	15:59:17.9	    -2.668
04/09/2016	15:59:18.0	    -2.623
04/09/2016	15:59:18.1	    -2.575
04/09/2016	15:59:18.2	    -2.522
04/09/2016	15:59:18.3	    -2.468
04/09/2016	15:59:18.4	    -2.417
04/09/2016	15:59:18.5	    -2.365
04/09/2016	15:59:18.6	    -2.311
04/09/2016	15:59:18.7	    -2.252
04/09/2016	15:59:18.8	    -2.193
04/09/2016	15:59:18.9	    -2.134
04/09/2016	15:59:19.0	    -2.077
04/09/2016	15:59:19.1	    -2.020
04/09/2016	15:59:19.2	    -1.955
04/09/2016	15:59:19.3	    -1.894
04/09/2016	15:59:19.4	    -1.830
04/09/2016	15:59:19.5	    -1.766
04/09/2016	15:59:19.6	    -1.698
04/09/2016	15:59:19.7	    -1.632
04/09/2016	15:59:19.8	    -1.567
04/09/2016	15:59:19.9	    -1.500
04/09/2016	15:59:20.0	    -1.431
04/09/2016	15:59:20.1	    -1.357
04/09/2016	15:59:20.2	    -1.287
04/09/2016	15:59:20.3	    -1.216
04/09/2016	15:59:20.4	    -1.140
04/09/2016	15:59:20.5	    -1.068
04/09/2016	15:59:20.6	    -0.992
04/09/2016	15:59:20.7	    -0.920
04/09/2016	15:59:20.8	    -0.842
04/09/2016	15:59:20.9	    -0.764
04/09/2016	15:59:21.0	    -0.688
04/09/2016	15:59:21.1	    -0.609
04/09/2016	15:59:21.2	    -0.562
04/09/2016	15:59:21.3	    -0.559
04/09/2016	15:59:21.4	    -0.572
04/09/2016	15:59:21.5	    -0.594
04/09/2016	15:59:21.6	    -0.625
04/09/2016	15:59:21.7	    -0.661
04/09/2016	15:59:21.8	    -0.699
04/09/2016	15:59:21.9	    -0.742
04/09/2016	15:59:22.0	    -0.787
04/09/2016	15:59:22.1	    -0.834
04/09/2016	15:59:22.2	    -0.883
04/09/2016	15:59:22.3	    -0.935
04/09/2016	15:59:22.4	    -0.984
04/09/2016	15:59:22.5	    -1.038
04/09/2016	15:59:22.6	    -1.095
04/09/2016	15:59:22.7	    -1.147
04/09/2016	15:59:22.8	    -1.202
04/09/2016	15:59:22.9	    -1.256
04/09/2016	15:59:23.0	    -1.310
04/09/2016	15:59:23.1	    -1.363
04/09/2016	15:59:23.2	    -1.418
04/09/2016	15:59:23.3	    -1.474
04/09/2016	15:59:23.4	    -1.527
04/09/2016	15:59:23.5	    -1.582
04/09/2016	15:59:23.6	    -1.637
04/09/2016	15:59:23.7	    -1.690
04/09/2016	15:59:23.8	    -1.744
04/09/2016	15:59:23.9	    -1.794
04/09/2016	15:59:24.0	    -1.850
04/09/2016	15:59:24.1	    -1.902
04/09/2016	15:59:24.2	    -1.954
04/09/2016	15:59:24.3	    -2.004
04/09/2016	15:59:24.4	    -2.057
04/09/2016	15:59:24.5	    -2.111
04/09/2016	15:59:24.6	    -2.158
04/09/2016	15:59:24.7	    -2.206
04/09/2016	15:59:24.8	    -2.257
04/09/2016	15:59:24.9	    -2.309
04/09/2016	15:59:25.0	    -2.351
04/09/2016	15:59:25.1	    -2.402
04/09/2016	15:59:25.2	    -2.451
04/09/2016	15:59:25.3	    -2.494
04/09/2016	15:59:25.4	    -2.542
04/09/2016	15:59:25.5	    -2.585
04/09/2016	15:59:25.6	    -2.630
04/09/2016	15:59:25.7	    -2.674
04/09/2016	15:59:25.8	    -2.718
04/09/2016	15:59:25.9	    -2.759
04/09/2016	15:59:26.0	    -2.800
04/09/2016	15:59:26.1	    -2.838
04/09/2016	15:59:26.2	    -2.873
04/09/2016	15:59:26.3	    -2.870
04/09/2016	15:59:26.4	    -2.851
04/09/2016	15:59:26.5	    -2.821
04/09/2016	15:59:26.6	    -2.796
04/09/2016	15:59:26.7	    -2.759
04/09/2016	15:59:26.8	    -2.722
04/09/2016	15:59:26.9	    -2.676
04/09/2016	15:59:27.0	    -2.634
04/09/2016	15:59:27.1	    -2.587
04/09/2016	15:59:27.2	    -2.546
04/09/2016	15:59:27.3	    -2.507
04/09/2016	15:59:27.4	    -2.447
04/09/2016	15:59:27.5	    -2.401
04/09/2016	15:59:27.6	    -2.348
04/09/2016	15:59:27.7	    -2.300
04/09/2016	15:59:27.8	    -2.245
04/09/2016	15:59:27.9	    -2.208
04/09/2016	15:59:28.0	    -2.142
04/09/2016	15:59:28.1	    -2.078
04/09/2016	15:59:28.2	    -2.029
04/09/2016	15:59:28.3	    -1.976
