Project Name:,Epoxy and Weights Study,Specimen ID/Lab #,5 lbs - 2500 psi - 8,Technician:,AM,Date:,8/26/2016 11:37 AM,File Version,1.2
Specimen Diamenter:,0.00,inch,Specimen Height:,1.50,Specimen Width:,3.00,Specimen Length:,6.00,Specimen Density:,
Gage 1 Length:,0.000,inch,Gage 2 Length:,0.000,Gage 3 Length:,0.000,Gage 4 Length:,0.000,Load Drop,93
Test Frame:,SWI Overlay,Unit System:,SAE(Inch/lb-f/F),Remarks:,Your Remarks Here,Loading/Unloading Time,5.000000,sec,Temperature:,77.0,F

Actuator PID:,4.000000,0.000000,0.000000,Load PID:,-5.000000,0.000000,0.000000,Pressure PID:,0.000000,0.000000,0.000000

Actuator,Load 5kip,Temperature,Time
0.00000000/-0.00956500/0.00000000/0.00000000/0,-11.06230000/492.22300000/0.00000000/0.00000000/2,0.00000000/1.00000000/0.00000000/0.00000000/7,sec
[NEW],0.000000,0.022474,0.022474,0.000000,6250.000000,0.000000,625.000000,0.000000,-5.000000,0.000000,0.000000,1.000000
-0.003126,-0.590762,77.000000,0.499200
-0.003122,-0.041879,77.000000,0.999200
-0.003119,0.257680,77.000000,1.499200
-0.003116,0.061617,77.000000,1.999200
-0.003114,0.212231,77.000000,2.499200
-0.003113,0.355839,77.000000,2.999200
-0.003111,0.460524,77.000000,3.499200
-0.003110,0.543142,77.000000,3.999200
-0.003109,0.619672,77.000000,4.499200
-0.003107,0.611032,77.000000,4.999200
[NEW],5.000000,-1.317303,-1.317303,0.100000,12500000.593718,0.000000,50.000000,0.000000,4.000000,0.000000,0.000000,0.000000
-0.003105,1.083525,77.000000,5.040000
-0.002985,42.283254,77.000000,5.080000
-0.002769,95.000416,77.000000,5.120000
-0.002559,137.729909,77.000000,5.160000
-0.002358,174.753994,77.000000,5.200000
-0.002161,208.501010,77.000000,5.240000
-0.001955,240.232218,77.000000,5.280000
-0.001757,269.370259,77.000000,5.320000
-0.001550,297.381016,77.000000,5.360000
-0.001347,323.165254,77.000000,5.400000
-0.001149,348.073934,77.000000,5.440000
-0.000943,371.553112,77.000000,5.480000
-0.000744,394.354065,77.000000,5.520000
-0.000543,415.911964,77.000000,5.560000
-0.000344,436.427221,77.000000,5.600000
-0.000139,456.797780,77.000000,5.640000
0.000063,475.901284,77.000000,5.680000
0.000264,494.236289,77.000000,5.720000
0.000463,512.465703,77.000000,5.760000
0.000667,529.190332,77.000000,5.800000
0.000867,545.866786,77.000000,5.840000
0.001073,561.960103,77.000000,5.880000
0.001276,577.066522,77.000000,5.920000
0.001475,591.963638,77.000000,5.960000
0.001678,606.237481,77.000000,6.000000
0.001876,619.618897,77.000000,6.040000
0.002081,632.796644,77.000000,6.080000
0.002277,645.161589,77.000000,6.120000
0.002483,657.968199,77.000000,6.160000
0.002683,669.080379,77.000000,6.200000
0.002886,680.736910,77.000000,6.240000
0.003090,691.553941,77.000000,6.280000
0.003289,702.401719,77.000000,6.320000
0.003492,712.757955,77.000000,6.360000
0.003696,722.381719,77.000000,6.400000
0.003891,731.076853,77.000000,6.440000
0.004094,739.994315,77.000000,6.480000
0.004296,749.034649,77.000000,6.520000
0.004495,757.434223,77.000000,6.560000
0.004702,765.430976,77.000000,6.600000
0.004900,772.618507,77.000000,6.640000
0.005106,780.097900,77.000000,6.680000
0.005304,787.087453,77.000000,6.720000
0.005510,793.634988,77.000000,6.760000
0.005708,800.604297,77.000000,6.800000
0.005911,806.858034,77.000000,6.840000
0.006111,812.362458,77.000000,6.880000
0.006314,818.216189,77.000000,6.920000
0.006517,823.431509,77.000000,6.960000
0.006723,828.485348,77.000000,7.000000
0.006919,833.597512,77.000000,7.040000
0.007123,837.910137,77.000000,7.080000
0.007321,842.227338,77.000000,7.120000
0.007525,846.844088,77.000000,7.160000
0.007726,850.911616,77.000000,7.200000
0.007929,854.772012,77.000000,7.240000
0.008131,857.755707,77.000000,7.280000
0.008332,861.555372,77.000000,7.320000
0.008536,864.989241,77.000000,7.360000
0.008739,867.638122,77.000000,7.400000
0.008937,870.455173,77.000000,7.440000
0.009145,872.838361,77.000000,7.480000
0.009341,874.843667,77.000000,7.520000
0.009542,877.395084,77.000000,7.560000
0.009746,879.493335,77.000000,7.600000
0.009946,880.854772,77.000000,7.640000
0.010148,882.504902,77.000000,7.680000
0.010352,884.295447,77.000000,7.720000
0.010551,885.612700,77.000000,7.760000
0.010753,886.971026,77.000000,7.800000
0.010957,888.095582,77.000000,7.840000
0.011159,888.915601,77.000000,7.880000
0.011355,889.994446,77.000000,7.920000
0.011558,891.254370,77.000000,7.960000
0.011760,892.012308,77.000000,8.000000
0.011962,892.566635,77.000000,8.040000
0.012168,893.044153,77.000000,8.080000
0.012368,893.598773,77.000000,8.120000
0.012569,894.254143,77.000000,8.160000
0.012771,894.483807,77.000000,8.200000
0.012971,894.930930,77.000000,8.240000
0.013174,895.412731,77.000000,8.280000
0.013376,895.403284,77.000000,8.320000
0.013577,895.516239,77.000000,8.360000
0.013777,895.301127,77.000000,8.400000
0.013982,894.607617,77.000000,8.440000
0.014184,893.808663,77.000000,8.480000
0.014386,893.205164,77.000000,8.520000
0.014585,892.228711,77.000000,8.560000
0.014789,891.003348,77.000000,8.600000
0.014988,889.838012,77.000000,8.640000
0.015191,888.401292,77.000000,8.680000
0.015392,887.484279,77.000000,8.720000
0.015593,886.855021,77.000000,8.760000
0.015797,884.953985,77.000000,8.800000
0.015997,883.486108,77.000000,8.840000
0.016201,881.827821,77.000000,8.880000
0.016410,878.605250,77.000000,8.920000
0.016605,875.483487,77.000000,8.960000
0.016806,873.633501,77.000000,9.000000
0.017006,871.028746,77.000000,9.040000
0.017206,868.554900,77.000000,9.080000
0.017413,866.936397,77.000000,9.120000
0.017616,863.923657,77.000000,9.160000
0.017812,862.027315,77.000000,9.200000
0.018020,858.853212,77.000000,9.240000
0.018218,856.061510,77.000000,9.280000
0.018419,854.045232,77.000000,9.320000
0.018621,851.051033,77.000000,9.360000
0.018822,847.955734,77.000000,9.400000
0.019023,845.157988,77.000000,9.440000
0.019229,841.930136,77.000000,9.480000
0.019429,838.990273,77.000000,9.520000
0.019631,836.016025,77.000000,9.560000
0.019834,832.465388,77.000000,9.600000
0.020033,828.812006,77.000000,9.640000
0.020236,825.481879,77.000000,9.680000
0.020435,821.957470,77.000000,9.720000
0.020641,818.359538,77.000000,9.760000
0.020846,814.127654,77.000000,9.800000
0.021044,810.154715,77.000000,9.840000
0.021246,805.320330,77.000000,9.880000
0.021446,800.797522,77.000000,9.920000
0.021644,796.134182,77.000000,9.960000
0.021850,791.293108,77.000000,10.000000
0.021989,773.544791,77.000000,10.040000
0.022057,747.920714,77.000000,10.080000
0.021972,700.787910,77.000000,10.120000
0.021803,650.336127,77.000000,10.160000
0.021602,602.547836,77.000000,10.200000
0.021386,560.547147,77.000000,10.240000
0.021165,522.984183,77.000000,10.280000
0.020946,489.834533,77.000000,10.320000
0.020735,459.846254,77.000000,10.360000
0.020526,432.212676,77.000000,10.400000
0.020319,406.312786,77.000000,10.440000
0.020117,382.444311,77.000000,10.480000
0.019911,359.994925,77.000000,10.520000
