Project Name:,Epoxy Comparison ,Specimen ID/Lab #,AM-1,Technician:,AM,Date:,8/16/2016 11:44 AM,File Version,1.2
Specimen Diamenter:,0.00,inch,Specimen Height:,1.50,Specimen Width:,3.00,Specimen Length:,6.00,Specimen Density:,
Gage 1 Length:,0.000,inch,Gage 2 Length:,0.000,Gage 3 Length:,0.000,Gage 4 Length:,0.000,Load Drop,93
Test Frame:,SWI Overlay,Unit System:,SAE(Inch/lb-f/F),Remarks:,Your Remarks Here,Loading/Unloading Time,5.000000,sec,Temperature:,77.0,F

Actuator PID:,4.000000,0.000000,0.000000,Load PID:,-5.000000,0.000000,0.000000,Pressure PID:,0.000000,0.000000,0.000000

Actuator,Load 5kip,Temperature,Time
0.00000000/-0.00956500/0.00000000/0.00000000/0,-11.06230000/492.22300000/0.00000000/0.00000000/2,0.00000000/1.00000000/0.00000000/0.00000000/7,sec
[NEW],0.000000,0.022474,0.022474,0.000000,6250.000000,0.000000,625.000000,0.000000,-5.000000,0.000000,0.000000,1.000000
-0.003087,-0.301272,77.000000,0.499200
-0.003081,0.284406,77.000000,0.999200
-0.003080,0.570540,77.000000,1.499200
-0.003076,0.545037,77.000000,1.999200
-0.003078,0.435433,77.000000,2.499200
-0.003072,0.693497,77.000000,2.999200
-0.003075,0.697147,77.000000,3.499200
-0.003076,0.602636,77.000000,3.999200
-0.003070,0.702257,77.000000,4.499200
-0.003070,0.569869,77.000000,4.999200
[NEW],5.000000,-1.317303,-1.317303,0.100000,12500000.593718,0.000000,50.000000,0.000000,4.000000,0.000000,0.000000,0.000000
-0.003072,1.112231,77.000000,5.040000
-0.002957,41.030987,77.000000,5.080000
-0.002743,96.994389,77.000000,5.120000
-0.002533,142.594337,77.000000,5.160000
-0.002339,182.783812,77.000000,5.200000
-0.002128,219.675270,77.000000,5.240000
-0.001928,254.066947,77.000000,5.280000
-0.001725,286.867524,77.000000,5.320000
-0.001525,318.058077,77.000000,5.360000
-0.001324,346.881665,77.000000,5.400000
-0.001124,374.799272,77.000000,5.440000
-0.000924,402.138200,77.000000,5.480000
-0.000717,427.743383,77.000000,5.520000
-0.000518,452.327137,77.000000,5.560000
-0.000316,476.128102,77.000000,5.600000
-0.000116,499.396980,77.000000,5.640000
0.000083,521.302660,77.000000,5.680000
0.000284,542.691568,77.000000,5.720000
0.000485,563.744370,77.000000,5.760000
0.000687,583.436381,77.000000,5.800000
0.000891,602.591258,77.000000,5.840000
0.001094,621.223787,77.000000,5.880000
0.001297,638.678775,77.000000,5.920000
0.001495,656.109353,77.000000,5.960000
0.001698,672.446710,77.000000,6.000000
0.001902,687.971969,77.000000,6.040000
0.002099,702.881290,77.000000,6.080000
0.002303,717.446526,77.000000,6.120000
0.002505,730.843081,77.000000,6.160000
0.002707,743.826664,77.000000,6.200000
0.002907,756.057002,77.000000,6.240000
0.003107,768.400060,77.000000,6.280000
0.003313,780.277688,77.000000,6.320000
0.003513,790.566211,77.000000,6.360000
0.003715,800.643142,77.000000,6.400000
0.003921,810.339842,77.000000,6.440000
0.004117,819.318271,77.000000,6.480000
0.004316,828.523371,77.000000,6.520000
0.004526,837.511599,77.000000,6.560000
0.004725,845.508469,77.000000,6.600000
0.004932,853.547470,77.000000,6.640000
0.005131,861.020643,77.000000,6.680000
0.005329,868.722072,77.000000,6.720000
0.005528,875.739321,77.000000,6.760000
0.005730,882.671429,77.000000,6.800000
0.005935,888.581491,77.000000,6.840000
0.006138,894.127047,77.000000,6.880000
0.006338,899.650424,77.000000,6.920000
0.006538,904.748565,77.000000,6.960000
0.006739,909.764029,77.000000,7.000000
0.006942,914.237371,77.000000,7.040000
0.007141,918.735944,77.000000,7.080000
0.007349,923.265558,77.000000,7.120000
0.007550,927.478313,77.000000,7.160000
0.007751,931.045263,77.000000,7.200000
0.007950,934.700346,77.000000,7.240000
0.008153,938.413638,77.000000,7.280000
0.008357,942.088203,77.000000,7.320000
0.008551,945.593717,77.000000,7.360000
0.008759,949.149694,77.000000,7.400000
0.008962,952.437867,77.000000,7.440000
0.009165,955.926130,77.000000,7.480000
0.009366,958.613210,77.000000,7.520000
0.009569,961.908659,77.000000,7.560000
0.009769,965.002139,77.000000,7.600000
0.009973,967.448289,77.000000,7.640000
0.010169,969.955347,77.000000,7.680000
0.010372,972.212027,77.000000,7.720000
0.010573,973.999697,77.000000,7.760000
0.010778,975.841937,77.000000,7.800000
0.010978,977.292212,77.000000,7.840000
0.011177,978.898334,77.000000,7.880000
0.011380,980.156263,77.000000,7.920000
0.011584,981.205770,77.000000,7.960000
0.011786,982.360896,77.000000,8.000000
0.011986,983.005997,77.000000,8.040000
0.012185,984.310047,77.000000,8.080000
0.012389,984.858096,77.000000,8.120000
0.012594,985.264731,77.000000,8.160000
0.012791,985.760791,77.000000,8.200000
0.012995,985.761730,77.000000,8.240000
0.013199,985.846343,77.000000,8.280000
0.013399,986.166136,77.000000,8.320000
0.013597,986.215660,77.000000,8.360000
0.013803,985.777456,77.000000,8.400000
0.014004,985.351574,77.000000,8.440000
0.014205,985.316485,77.000000,8.480000
0.014406,984.141643,77.000000,8.520000
0.014609,983.810701,77.000000,8.560000
0.014807,983.553342,77.000000,8.600000
0.015014,982.665902,77.000000,8.640000
0.015213,981.798883,77.000000,8.680000
0.015413,980.929399,77.000000,8.720000
0.015622,979.767348,77.000000,8.760000
0.015820,979.000081,77.000000,8.800000
0.016023,976.803897,77.000000,8.840000
0.016219,975.482244,77.000000,8.880000
0.016428,974.014718,77.000000,8.920000
0.016625,972.051309,77.000000,8.960000
0.016826,970.180140,77.000000,9.000000
0.017034,968.210687,77.000000,9.040000
0.017235,965.353090,77.000000,9.080000
0.017436,962.503649,77.000000,9.120000
0.017633,959.678266,77.000000,9.160000
0.017836,956.765982,77.000000,9.200000
0.018042,953.756352,77.000000,9.240000
0.018241,950.889777,77.000000,9.280000
0.018440,947.413777,77.000000,9.320000
0.018644,943.734108,77.000000,9.360000
0.018846,939.964662,77.000000,9.400000
0.019048,935.666120,77.000000,9.440000
0.019254,931.454480,77.000000,9.480000
0.019450,926.480795,77.000000,9.520000
0.019655,920.547320,77.000000,9.560000
0.019857,915.290809,77.000000,9.600000
0.020059,909.209115,77.000000,9.640000
0.020262,902.762740,77.000000,9.680000
0.020460,895.939597,77.000000,9.720000
0.020667,889.350166,77.000000,9.760000
0.020868,881.718740,77.000000,9.800000
0.021075,874.249028,77.000000,9.840000
0.021267,866.301565,77.000000,9.880000
0.021471,858.284333,77.000000,9.920000
0.021675,850.672211,77.000000,9.960000
0.021879,841.918166,77.000000,10.000000
0.022022,820.521513,77.000000,10.040000
0.022101,790.698705,77.000000,10.080000
0.022016,735.712321,77.000000,10.120000
0.021835,678.624635,77.000000,10.160000
0.021622,626.526654,77.000000,10.200000
0.021402,580.420003,77.000000,10.240000
0.021189,540.553475,77.000000,10.280000
0.020972,504.590823,77.000000,10.320000
0.020762,471.449271,77.000000,10.360000
0.020552,441.262486,77.000000,10.400000
0.020348,413.150510,77.000000,10.440000
0.020143,386.959637,77.000000,10.480000
0.019939,362.070115,77.000000,10.520000
