Project Name:,Epoxy Comparison ,Specimen ID/Lab #,AM-3,Technician:,AM,Date:,8/16/2016 12:01 PM,File Version,1.2
Specimen Diamenter:,0.00,inch,Specimen Height:,1.50,Specimen Width:,3.00,Specimen Length:,6.00,Specimen Density:,
Gage 1 Length:,0.000,inch,Gage 2 Length:,0.000,Gage 3 Length:,0.000,Gage 4 Length:,0.000,Load Drop,93
Test Frame:,SWI Overlay,Unit System:,SAE(Inch/lb-f/F),Remarks:,Your Remarks Here,Loading/Unloading Time,5.000000,sec,Temperature:,77.0,F

Actuator PID:,4.000000,0.000000,0.000000,Load PID:,-5.000000,0.000000,0.000000,Pressure PID:,0.000000,0.000000,0.000000

Actuator,Load 5kip,Temperature,Time
0.00000000/-0.00956500/0.00000000/0.00000000/0,-11.06230000/492.22300000/0.00000000/0.00000000/2,0.00000000/1.00000000/0.00000000/0.00000000/7,sec
[NEW],0.000000,0.022474,0.022474,0.000000,6250.000000,0.000000,625.000000,0.000000,-5.000000,0.000000,0.000000,1.000000
-0.003341,-0.786414,77.000000,0.499200
-0.003336,-0.154014,77.000000,0.999200
-0.003333,0.019935,77.000000,1.499200
-0.003333,-0.118975,77.000000,1.999200
-0.003333,0.201576,77.000000,2.499200
-0.003333,0.258797,77.000000,2.999200
-0.003326,-0.003847,77.000000,3.499200
-0.003331,0.245976,77.000000,3.999200
-0.003327,0.034631,77.000000,4.499200
-0.003324,0.433984,77.000000,4.999200
[NEW],5.000000,-1.317303,-1.317303,0.100000,12500000.593718,0.000000,50.000000,0.000000,4.000000,0.000000,0.000000,0.000000
-0.003325,0.518051,77.000000,5.040000
-0.003216,41.058019,77.000000,5.080000
-0.003002,102.374101,77.000000,5.120000
-0.002799,149.967583,77.000000,5.160000
-0.002590,192.174890,77.000000,5.200000
-0.002391,230.489426,77.000000,5.240000
-0.002191,264.389620,77.000000,5.280000
-0.001982,296.444669,77.000000,5.320000
-0.001788,326.521023,77.000000,5.360000
-0.001577,355.137626,77.000000,5.400000
-0.001380,383.004799,77.000000,5.440000
-0.001177,408.837769,77.000000,5.480000
-0.000981,434.485874,77.000000,5.520000
-0.000774,459.198190,77.000000,5.560000
-0.000573,482.114328,77.000000,5.600000
-0.000373,505.209637,77.000000,5.640000
-0.000169,527.367924,77.000000,5.680000
0.000028,548.526581,77.000000,5.720000
0.000227,568.901364,77.000000,5.760000
0.000436,588.486113,77.000000,5.800000
0.000634,606.750029,77.000000,5.840000
0.000834,625.037945,77.000000,5.880000
0.001036,641.690401,77.000000,5.920000
0.001237,658.337399,77.000000,5.960000
0.001445,674.322397,77.000000,6.000000
0.001643,689.824244,77.000000,6.040000
0.001842,704.752342,77.000000,6.080000
0.002048,719.513502,77.000000,6.120000
0.002249,733.381824,77.000000,6.160000
0.002450,746.511279,77.000000,6.200000
0.002648,759.589860,77.000000,6.240000
0.002850,771.921946,77.000000,6.280000
0.003056,784.006530,77.000000,6.320000
0.003253,795.730657,77.000000,6.360000
0.003457,806.450049,77.000000,6.400000
0.003659,817.440354,77.000000,6.440000
0.003860,826.897416,77.000000,6.480000
0.004062,836.610898,77.000000,6.520000
0.004266,845.804967,77.000000,6.560000
0.004467,854.356868,77.000000,6.600000
0.004670,863.028413,77.000000,6.640000
0.004874,871.190578,77.000000,6.680000
0.005071,878.590463,77.000000,6.720000
0.005275,886.148132,77.000000,6.760000
0.005474,893.040339,77.000000,6.800000
0.005677,900.487401,77.000000,6.840000
0.005880,906.866590,77.000000,6.880000
0.006083,913.348934,77.000000,6.920000
0.006281,919.598035,77.000000,6.960000
0.006483,925.339516,77.000000,7.000000
0.006685,931.142961,77.000000,7.040000
0.006891,936.677311,77.000000,7.080000
0.007091,941.814120,77.000000,7.120000
0.007288,947.023748,77.000000,7.160000
0.007495,951.979302,77.000000,7.200000
0.007694,956.530861,77.000000,7.240000
0.007889,960.516886,77.000000,7.280000
0.008098,965.271176,77.000000,7.320000
0.008303,969.210142,77.000000,7.360000
0.008504,972.646182,77.000000,7.400000
0.008705,976.136499,77.000000,7.440000
0.008906,979.673816,77.000000,7.480000
0.009104,983.107275,77.000000,7.520000
0.009311,986.204980,77.000000,7.560000
0.009511,989.453370,77.000000,7.600000
0.009711,991.833331,77.000000,7.640000
0.009917,994.730359,77.000000,7.680000
0.010116,997.359231,77.000000,7.720000
0.010314,999.824393,76.820000,7.760000
0.010517,1001.965889,76.820000,7.800000
0.010719,1004.236827,76.820000,7.840000
0.010922,1006.358608,76.820000,7.880000
0.011124,1008.655130,76.820000,7.920000
0.011327,1010.835822,76.820000,7.960000
0.011529,1012.051269,76.820000,8.000000
0.011730,1013.963336,76.820000,8.040000
0.011929,1015.596919,76.820000,8.080000
0.012133,1017.057521,76.820000,8.120000
0.012332,1018.600389,76.820000,8.160000
0.012542,1019.467408,76.820000,8.200000
0.012739,1021.093128,76.820000,8.240000
0.012939,1021.928814,76.820000,8.280000
0.013138,1022.936190,76.820000,8.320000
0.013341,1023.677053,76.820000,8.360000
0.013547,1024.323797,76.820000,8.400000
0.013745,1025.091886,76.820000,8.440000
0.013945,1025.646507,76.820000,8.480000
0.014151,1026.017349,76.820000,8.520000
0.014350,1026.212862,76.820000,8.560000
0.014549,1026.431847,76.820000,8.600000
0.014756,1026.515521,76.820000,8.640000
0.014951,1026.529252,76.820000,8.680000
0.015160,1026.991983,76.820000,8.720000
0.015361,1027.186323,76.820000,8.760000
0.015564,1026.494045,76.820000,8.800000
0.015761,1026.710331,76.820000,8.840000
0.015966,1026.119330,76.820000,8.880000
0.016165,1025.897060,76.820000,8.920000
0.016369,1025.747549,76.820000,8.960000
0.016571,1024.591249,76.820000,9.000000
0.016770,1024.442795,76.820000,9.040000
0.016971,1023.441639,76.820000,9.080000
0.017172,1023.013293,76.820000,9.120000
0.017373,1022.153080,76.820000,9.160000
0.017579,1021.387807,76.820000,9.200000
0.017787,1020.323161,76.820000,9.240000
0.017980,1019.142452,76.820000,9.280000
0.018184,1018.426351,76.820000,9.320000
0.018381,1017.177575,76.820000,9.360000
0.018590,1015.770605,76.820000,9.400000
0.018793,1014.672513,76.820000,9.440000
0.018989,1012.958424,76.820000,9.480000
0.019188,1012.232935,76.820000,9.520000
0.019398,1010.688424,76.820000,9.560000
0.019593,1008.852873,76.820000,9.600000
0.019800,1007.868499,76.820000,9.640000
0.020000,1005.835556,76.820000,9.680000
0.020199,1004.657428,76.820000,9.720000
0.020398,1002.760031,76.820000,9.760000
0.020606,1000.849842,76.820000,9.800000
0.020807,998.961950,76.820000,9.840000
0.021008,997.488087,76.820000,9.880000
0.021210,995.342601,76.820000,9.920000
0.021409,993.840456,76.820000,9.960000
0.021611,991.285635,76.820000,10.000000
0.021747,973.008809,76.820000,10.040000
0.021826,946.200502,76.820000,10.080000
0.021745,890.887049,76.820000,10.120000
0.021581,829.584144,76.820000,10.160000
0.021375,770.728327,76.820000,10.200000
0.021162,718.072733,76.820000,10.240000
0.020951,670.652468,76.820000,10.280000
0.020735,627.849891,76.820000,10.320000
0.020518,589.423076,76.820000,10.360000
0.020321,553.183760,76.820000,10.400000
0.020115,519.550490,76.820000,10.440000
