Project Name:,Project Name,Specimen ID/Lab #,New 2500 psi -5 lbs-6,Technician:,Your Name Here,Date:,9/9/2016 2:23 PM,File Version,1.2
Specimen Diamenter:,0.00,inch,Specimen Height:,1.50,Specimen Width:,3.00,Specimen Length:,6.00,Specimen Density:,
Gage 1 Length:,0.000,inch,Gage 2 Length:,0.000,Gage 3 Length:,0.000,Gage 4 Length:,0.000,Load Drop,93
Test Frame:,SWI Overlay,Unit System:,SAE(Inch/lb-f/F),Remarks:,Your Remarks Here,Loading/Unloading Time,5.000000,sec,Temperature:,77.0,F

Actuator PID:,4.000000,0.000000,0.000000,Load PID:,-5.000000,0.000000,0.000000,Pressure PID:,0.000000,0.000000,0.000000

Actuator,Load 5kip,Temperature,Time
0.00000000/-0.00956500/0.00000000/0.00000000/0,-11.06230000/492.22300000/0.00000000/0.00000000/2,0.00000000/1.00000000/0.00000000/0.00000000/7,sec
[NEW],0.000000,0.022474,0.022474,0.000000,6250.000000,0.000000,625.000000,0.000000,-5.000000,0.000000,0.000000,1.000000
-0.003457,0.392821,77.180000,0.499200
-0.003451,1.002368,77.180000,0.999200
-0.003444,1.011693,77.180000,1.499200
-0.003441,1.217069,77.180000,1.999200
-0.003440,1.105638,77.180000,2.499200
-0.003436,1.367577,77.180000,2.999200
-0.003434,1.241675,77.180000,3.499200
-0.003434,1.229113,77.180000,3.999200
-0.003433,1.290928,77.180000,4.499200
-0.003430,1.401050,77.180000,4.999200
[NEW],5.000000,-1.317303,-1.317303,0.100000,12500000.593718,0.000000,50.000000,0.000000,4.000000,0.000000,0.000000,0.000000
-0.003429,2.385563,77.180000,5.040000
-0.003296,48.091180,77.180000,5.080000
-0.003079,99.842165,77.180000,5.120000
-0.002876,139.874207,77.180000,5.160000
-0.002670,175.320129,77.180000,5.200000
-0.002469,207.104646,77.180000,5.240000
-0.002266,236.883138,77.180000,5.280000
-0.002063,264.362892,77.180000,5.320000
-0.001864,290.095200,77.180000,5.360000
-0.001660,314.167462,77.180000,5.400000
-0.001461,337.618650,77.180000,5.440000
-0.001261,359.946721,77.180000,5.480000
-0.001055,381.150911,77.180000,5.520000
-0.000857,401.747290,77.180000,5.560000
-0.000654,420.792998,77.180000,5.600000
-0.000453,440.277994,77.180000,5.640000
-0.000250,459.054753,77.180000,5.680000
-0.000049,476.527198,77.180000,5.720000
0.000153,493.737471,77.180000,5.760000
0.000354,510.181562,77.180000,5.800000
0.000556,526.470334,77.180000,5.840000
0.000757,542.510606,77.180000,5.880000
0.000958,557.852381,77.180000,5.920000
0.001160,572.208959,77.180000,5.960000
0.001360,586.174334,77.180000,6.000000
0.001564,600.549924,77.180000,6.040000
0.001763,613.971417,77.180000,6.080000
0.001965,627.253962,77.180000,6.120000
0.002166,639.687677,77.180000,6.160000
0.002369,652.023576,77.180000,6.200000
0.002569,664.126233,77.180000,6.240000
0.002771,676.164696,77.180000,6.280000
0.002974,687.268191,77.180000,6.320000
0.003174,698.385181,77.180000,6.360000
0.003380,708.927954,77.180000,6.400000
0.003577,719.658611,77.180000,6.440000
0.003779,729.967260,77.180000,6.480000
0.003983,740.156148,77.180000,6.520000
0.004184,749.194721,77.180000,6.560000
0.004385,758.767201,77.180000,6.600000
0.004588,768.107905,77.180000,6.640000
0.004785,777.107751,77.180000,6.680000
0.004989,785.748784,77.180000,6.720000
0.005189,793.558825,77.180000,6.760000
0.005393,801.869327,77.180000,6.800000
0.005593,809.814091,77.180000,6.840000
0.005795,817.678820,77.180000,6.880000
0.006000,824.787430,77.180000,6.920000
0.006198,831.747702,77.180000,6.960000
0.006400,838.325280,77.180000,7.000000
0.006604,845.624768,77.180000,7.040000
0.006801,851.708809,77.180000,7.080000
0.007005,858.092281,77.180000,7.120000
0.007208,864.286577,77.180000,7.160000
0.007412,869.836242,77.180000,7.200000
0.007611,875.483487,77.180000,7.240000
0.007813,880.968841,77.180000,7.280000
0.008016,886.525957,77.180000,7.320000
0.008213,891.443958,77.180000,7.360000
0.008420,896.438532,77.180000,7.400000
0.008618,900.826146,77.180000,7.440000
0.008821,905.512077,77.180000,7.480000
0.009025,910.229870,77.180000,7.520000
0.009225,914.122422,77.180000,7.560000
0.009427,918.061328,77.180000,7.600000
0.009629,921.969312,77.180000,7.640000
0.009829,925.883516,77.180000,7.680000
0.010032,929.630136,77.180000,7.720000
0.010231,932.872834,77.180000,7.760000
0.010435,935.890503,77.180000,7.800000
0.010637,939.367500,77.180000,7.840000
0.010837,942.265937,77.180000,7.880000
0.011039,945.769632,77.180000,7.920000
0.011246,948.625351,77.180000,7.960000
0.011443,950.035960,77.180000,8.000000
0.011645,953.056211,77.180000,8.040000
0.011847,955.202108,77.180000,8.080000
0.012048,957.228302,77.180000,8.120000
0.012249,959.356009,77.180000,8.160000
0.012453,960.378700,77.180000,8.200000
0.012655,962.056526,77.180000,8.240000
0.012858,963.384693,77.000000,8.280000
0.013056,964.738149,77.000000,8.320000
0.013260,966.538435,77.000000,8.360000
0.013461,966.955281,77.000000,8.400000
0.013662,967.735340,77.000000,8.440000
0.013865,968.427794,77.000000,8.480000
0.014069,968.775400,77.000000,8.520000
0.014269,969.363935,77.000000,8.560000
0.014472,968.946679,77.000000,8.600000
0.014670,969.328846,77.000000,8.640000
0.014874,968.957593,77.000000,8.680000
0.015077,969.128169,77.000000,8.720000
0.015278,968.448976,77.000000,8.760000
0.015480,967.870122,77.000000,8.800000
0.015681,967.226430,77.000000,8.840000
0.015882,966.367449,77.000000,8.880000
0.016082,965.783842,77.000000,8.920000
0.016285,964.925565,77.000000,8.960000
0.016487,963.937318,77.000000,9.000000
0.016687,962.673755,77.000000,9.040000
0.016888,961.821347,77.000000,9.080000
0.017091,960.556845,77.000000,9.120000
0.017290,958.978302,77.000000,9.160000
0.017495,957.710515,77.000000,9.200000
0.017697,956.172928,77.000000,9.240000
0.017900,954.605592,77.000000,9.280000
0.018100,953.012320,77.000000,9.320000
0.018301,951.222068,77.000000,9.360000
0.018504,949.375427,77.000000,9.400000
0.018707,947.704349,77.000000,9.440000
0.018907,945.659201,77.000000,9.480000
0.019110,943.804697,77.000000,9.520000
0.019310,941.313541,77.000000,9.560000
0.019513,938.871264,77.000000,9.600000
0.019714,936.751303,77.000000,9.640000
0.019916,934.505244,77.000000,9.680000
0.020119,931.857536,77.000000,9.720000
0.020319,929.299488,77.000000,9.760000
0.020522,926.749010,77.000000,9.800000
0.020720,923.948799,77.000000,9.840000
0.020926,921.378605,77.000000,9.880000
0.021126,918.477998,77.000000,9.920000
0.021328,915.792854,77.000000,9.960000
0.021532,912.404871,77.000000,10.000000
0.021663,894.838748,77.000000,10.040000
0.021733,869.489633,77.000000,10.080000
0.021656,821.291128,77.000000,10.120000
0.021492,768.389029,77.000000,10.160000
0.021289,717.721196,77.000000,10.200000
0.021078,672.657597,77.000000,10.240000
0.020863,631.820484,77.000000,10.280000
0.020654,595.310899,77.000000,10.320000
0.020451,561.616898,77.000000,10.360000
0.020249,528.997752,77.000000,10.400000
0.020041,498.759448,77.000000,10.440000
0.019832,470.965710,77.000000,10.480000
0.019624,444.935408,77.000000,10.520000
