Project Name:,Project Name,Specimen ID/Lab #,New 2500 psi -5 lbs-9,Technician:,New 2500 psi -5 lbs-9,Date:,9/13/2016 3:25 PM,File Version,1.2
Specimen Diamenter:,0.00,inch,Specimen Height:,1.50,Specimen Width:,3.00,Specimen Length:,6.00,Specimen Density:,
Gage 1 Length:,0.000,inch,Gage 2 Length:,0.000,Gage 3 Length:,0.000,Gage 4 Length:,0.000,Load Drop,93
Test Frame:,SWI Overlay,Unit System:,SAE(Inch/lb-f/F),Remarks:,Your Remarks Here,Loading/Unloading Time,5.000000,sec,Temperature:,77.0,F

Actuator PID:,4.000000,0.000000,0.000000,Load PID:,-5.000000,0.000000,0.000000,Pressure PID:,0.000000,0.000000,0.000000

Actuator,Load 5kip,Temperature,Time
0.00000000/-0.00956500/0.00000000/0.00000000/0,-11.06230000/492.22300000/0.00000000/0.00000000/2,0.00000000/1.00000000/0.00000000/0.00000000/7,sec
[NEW],0.000000,0.022474,0.022474,0.000000,6250.000000,0.000000,625.000000,0.000000,-5.000000,0.000000,0.000000,1.000000
-0.001330,-1.858504,77.000000,0.499200
-0.001333,-0.205607,77.000000,0.999200
-0.001322,-1.159299,77.000000,1.499200
-0.001323,0.168795,77.000000,1.999200
-0.001322,0.311991,77.000000,2.499200
-0.001329,0.289585,77.000000,2.999200
-0.001327,-0.634749,76.820000,3.499200
-0.001304,0.018972,76.820000,3.999200
-0.001295,-0.618538,76.820000,4.499200
-0.001300,0.293732,76.820000,4.999200
[NEW],5.000000,-1.317303,-1.317303,0.100000,12500000.593718,0.000000,50.000000,0.000000,4.000000,0.000000,0.000000,0.000000
-0.001301,0.842322,76.820000,5.040000
-0.001189,35.752670,76.820000,5.080000
-0.000972,79.777023,76.820000,5.120000
-0.000766,113.534015,76.820000,5.160000
-0.000559,143.409603,76.820000,5.200000
-0.000355,171.116029,76.820000,5.240000
-0.000159,196.449829,76.820000,5.280000
0.000045,216.964162,76.820000,5.320000
0.000242,235.530943,76.820000,5.360000
0.000435,254.413233,76.820000,5.400000
0.000630,271.901462,76.820000,5.440000
0.000838,290.501806,76.820000,5.480000
0.001021,306.063446,76.820000,5.520000
0.001219,322.903845,76.820000,5.560000
0.001434,340.520578,76.820000,5.600000
0.001638,358.103630,76.820000,5.640000
0.001821,367.844016,76.820000,5.680000
0.002024,382.298820,76.820000,5.720000
0.002227,393.710079,76.820000,5.760000
0.002438,408.714428,76.820000,5.800000
0.002637,420.295969,76.820000,5.840000
0.002831,433.900566,76.820000,5.880000
0.003044,444.790064,76.820000,5.920000
0.003277,460.339909,76.820000,5.960000
0.003470,472.442242,76.820000,6.000000
0.003676,483.985144,76.820000,6.040000
0.003871,495.897568,76.820000,6.080000
0.004062,505.989814,76.820000,6.120000
0.004250,514.215351,76.820000,6.160000
0.004446,524.091780,76.820000,6.200000
0.004643,532.680649,76.820000,6.240000
0.004841,541.480639,76.820000,6.280000
0.005062,553.378217,76.820000,6.320000
0.005277,564.498376,76.820000,6.360000
0.005485,571.349157,76.820000,6.400000
0.005686,580.641862,76.820000,6.440000
0.005891,590.973278,76.820000,6.480000
0.006088,599.656676,76.820000,6.520000
0.006261,605.894921,76.820000,6.560000
0.006466,609.720229,76.820000,6.600000
0.006700,622.369760,76.820000,6.640000
0.006892,631.805638,76.820000,6.680000
0.007100,637.820205,76.820000,6.720000
0.007292,646.989101,76.820000,6.760000
0.007466,650.802145,76.820000,6.800000
0.007663,655.966943,76.820000,6.840000
0.007866,663.861538,76.820000,6.880000
0.008071,669.456208,76.820000,6.920000
0.008272,676.836495,76.820000,6.960000
0.008503,684.876376,76.820000,7.000000
0.008708,691.575123,76.820000,7.040000
0.008915,700.745017,76.820000,7.080000
0.009113,705.875136,76.820000,7.120000
0.009316,711.979245,76.820000,7.160000
0.009507,715.856541,76.820000,7.200000
0.009709,721.862951,76.820000,7.240000
0.009916,728.045335,76.820000,7.280000
0.010124,734.266212,76.820000,7.320000
0.010325,740.295272,76.820000,7.360000
0.010521,744.059261,76.820000,7.400000
0.010725,748.314440,76.820000,7.440000
0.010914,751.484730,76.820000,7.480000
0.011097,757.007637,76.820000,7.520000
0.011322,763.768993,76.820000,7.560000
0.011536,768.943825,76.820000,7.600000
0.011726,771.247624,76.820000,7.640000
0.011917,774.318924,76.820000,7.680000
0.012120,778.370550,76.820000,7.720000
0.012319,782.887314,76.820000,7.760000
0.012513,786.806916,76.820000,7.800000
0.012718,790.732092,76.820000,7.840000
0.012911,795.446188,76.820000,7.880000
0.013141,801.826551,76.820000,7.920000
0.013349,805.079869,76.820000,7.960000
0.013516,806.823942,76.820000,8.000000
0.013739,812.138661,76.820000,8.040000
0.013941,816.699081,76.820000,8.080000
0.014152,818.646472,76.820000,8.120000
0.014342,820.413253,76.820000,8.160000
0.014520,822.270925,76.820000,8.200000
0.014740,827.152487,76.820000,8.240000
0.014964,830.707056,76.820000,8.280000
0.015145,830.688045,76.820000,8.320000
0.015335,834.206116,76.820000,8.360000
0.015565,837.289856,76.820000,8.400000
0.015737,839.335121,76.820000,8.440000
0.015968,842.649581,76.820000,8.480000
0.016158,843.276610,76.820000,8.520000
0.016337,844.692558,76.820000,8.560000
0.016550,848.427091,76.820000,8.600000
0.016762,851.357389,76.820000,8.640000
0.016977,852.846743,76.820000,8.680000
0.017161,851.998676,76.820000,8.720000
0.017351,854.392662,76.820000,8.760000
0.017584,856.963501,76.820000,8.800000
0.017767,856.183618,76.820000,8.840000
0.017953,857.725077,76.820000,8.880000
0.018183,859.942502,76.820000,8.920000
0.018383,860.139248,76.820000,8.960000
0.018555,858.809028,76.820000,9.000000
0.018757,860.592591,76.820000,9.040000
0.018973,862.928779,76.820000,9.080000
0.019192,864.265923,76.820000,9.120000
0.019398,863.372616,76.820000,9.160000
0.019581,861.686516,76.820000,9.200000
0.019765,861.717146,76.820000,9.240000
0.019969,863.021137,76.820000,9.280000
0.020176,863.240357,76.820000,9.320000
0.020408,864.882272,76.820000,9.360000
0.020602,862.607578,76.820000,9.400000
0.020807,862.109581,76.820000,9.440000
0.021011,862.037701,76.820000,9.480000
0.021208,860.580972,76.820000,9.520000
0.021399,858.940348,76.820000,9.560000
0.021590,857.257065,76.820000,9.600000
0.021806,856.869852,76.820000,9.640000
0.022020,857.399828,76.820000,9.680000
0.022227,855.706980,76.820000,9.720000
0.022427,854.993168,76.820000,9.760000
0.022632,852.276162,76.820000,9.800000
0.022829,849.334539,76.820000,9.840000
0.023018,846.149639,76.820000,9.880000
0.023209,843.370259,76.820000,9.920000
0.023406,841.096562,76.820000,9.960000
0.023620,838.774105,76.820000,10.000000
0.023746,821.405197,76.820000,10.040000
0.023840,796.901626,76.820000,10.080000
0.023789,747.423598,76.820000,10.120000
0.023627,691.253511,76.820000,10.160000
0.023421,636.969381,76.820000,10.200000
0.023203,588.424853,76.820000,10.240000
0.022976,546.066348,76.820000,10.280000
0.022764,508.714682,76.820000,10.320000
0.022549,475.965067,76.820000,10.360000
0.022353,446.331259,76.820000,10.400000
0.022149,419.360033,76.820000,10.440000
0.021945,393.645270,76.820000,10.480000
0.021731,369.028363,76.820000,10.520000
