Cycle,Time,Load (kN),Actuator (mm),External (mm),On-Specimen LVDT (mm)
1,0.000,0.0152,-7.806759,-0.378745,-0.247141
1,0.050,-0.2146,-7.815285,-0.373151,-0.248470
1,0.100,-0.2502,-7.820950,-0.368101,-0.249220
1,0.150,-0.3716,-7.828846,-0.361275,-0.250202
1,0.200,-0.4232,-7.834854,-0.355746,-0.250658
1,0.250,-0.5038,-7.842808,-0.348603,-0.251389
1,0.300,-0.5801,-7.849846,-0.342479,-0.251640
1,0.350,-0.6115,-7.856598,-0.336023,-0.251951
1,0.400,-0.6969,-7.864494,-0.329358,-0.252136
1,0.450,-0.7063,-7.870388,-0.323435,-0.252012
1,0.500,-0.7887,-7.878513,-0.316394,-0.252106
1,0.550,-0.8003,-7.883949,-0.310858,-0.251709
1,0.600,-0.8770,-7.892075,-0.303807,-0.251623
1,0.650,-0.9298,-7.898540,-0.297810,-0.251135
1,0.700,-0.9503,-7.905693,-0.291149,-0.250761
1,0.750,-1.0119,-7.912788,-0.284862,-0.250225
1,0.800,-1.0225,-7.919369,-0.278561,-0.249613
1,0.850,-1.0944,-7.927380,-0.271642,-0.249102
1,0.900,-1.0900,-7.932587,-0.265944,-0.248213
1,0.950,-1.1621,-7.940826,-0.259038,-0.247559
1,1.000,-1.1874,-7.947235,-0.253182,-0.246574
1,1.050,-1.2116,-7.954159,-0.246273,-0.245811
1,1.100,-1.2601,-7.961140,-0.240221,-0.244776
1,1.150,-1.2593,-7.967548,-0.233753,-0.243748
1,1.200,-1.3239,-7.974815,-0.226946,-0.242779
1,1.250,-1.3095,-7.980194,-0.221123,-0.241531
1,1.300,-1.3677,-7.988033,-0.214283,-0.240488
1,1.350,-1.3717,-7.993927,-0.208484,-0.239128
1,1.400,-1.4047,-8.001537,-0.201502,-0.238014
1,1.450,-1.4383,-8.008118,-0.195577,-0.236607
1,1.500,-1.4480,-8.015213,-0.188802,-0.235382
1,1.550,-1.4954,-8.022308,-0.182356,-0.234035
1,1.600,-1.4798,-8.028145,-0.176302,-0.232582
1,1.650,-1.5383,-8.036098,-0.169389,-0.231281
1,1.700,-1.5201,-8.041649,-0.163730,-0.229649
1,1.750,-1.5632,-8.049316,-0.156747,-0.228296
1,1.800,-1.5855,-8.055439,-0.150864,-0.226658
1,1.850,-1.5965,-8.062649,-0.144080,-0.225174
1,1.900,-1.6423,-8.069916,-0.137695,-0.223595
1,1.950,-1.6188,-8.075581,-0.131530,-0.221970
1,2.000,-1.6743,-8.083591,-0.124768,-0.220387
1,2.050,-1.6415,-8.088799,-0.118978,-0.218605
1,2.100,-1.7000,-8.096294,-0.111898,-0.217043
1,2.150,-1.6942,-8.102474,-0.106254,-0.215101
1,2.200,-1.7206,-8.110027,-0.099205,-0.213516
1,2.250,-1.7480,-8.116379,-0.093206,-0.211597
1,2.300,-1.7356,-8.122959,-0.086707,-0.209822
1,2.350,-1.7869,-8.130398,-0.079903,-0.208036
1,2.400,-1.7511,-8.136005,-0.073930,-0.206051
1,2.450,-1.8050,-8.143787,-0.067229,-0.204227
1,2.500,-1.7901,-8.149338,-0.061452,-0.202133
1,2.550,-1.8165,-8.156834,-0.054405,-0.200298
1,2.600,-1.8309,-8.163013,-0.048657,-0.198160
