VIRTUALBENCH-LOGGER 2.1 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	13:37:39	10/22/2015

USER	


START COMMENT



END COMMENT

START DATA
Date	Time	Ch4()
10/22/2015	13:43:32.23	  -3.53638
10/22/2015	13:43:32.27	  -3.57971
10/22/2015	13:43:32.31	  -3.53271
10/22/2015	13:43:32.35	  -3.54584
10/22/2015	13:43:32.39	  -3.54645
10/22/2015	13:43:32.43	  -3.53912
10/22/2015	13:43:32.47	  -3.58032
10/22/2015	13:43:32.51	  -3.52142
10/22/2015	13:43:32.55	  -3.54736
10/22/2015	13:43:32.59	  -3.54187
10/22/2015	13:43:32.63	  -3.53394
10/22/2015	13:43:32.67	  -3.57880
10/22/2015	13:43:32.71	  -3.52417
10/22/2015	13:43:32.75	  -3.54736
10/22/2015	13:43:32.79	  -3.54187
10/22/2015	13:43:32.83	  -3.55225
10/22/2015	13:43:32.87	  -3.60565
10/22/2015	13:43:32.91	  -3.55011
10/22/2015	13:43:32.95	  -3.56995
10/22/2015	13:43:32.99	  -3.56018
10/22/2015	13:43:33.03	  -3.55530
10/22/2015	13:43:33.07	  -3.60016
10/22/2015	13:43:33.11	  -3.54126
10/22/2015	13:43:33.15	  -3.55560
10/22/2015	13:43:33.19	  -3.54553
10/22/2015	13:43:33.23	  -3.53546
10/22/2015	13:43:33.27	  -3.57666
10/22/2015	13:43:33.31	  -3.51105
10/22/2015	13:43:33.35	  -3.52875
10/22/2015	13:43:33.39	  -3.50830
10/22/2015	13:43:33.43	  -3.49731
10/22/2015	13:43:33.47	  -3.53607
10/22/2015	13:43:33.51	  -3.47382
10/22/2015	13:43:33.55	  -3.49182
10/22/2015	13:43:33.59	  -3.46497
10/22/2015	13:43:33.63	  -3.45947
10/22/2015	13:43:33.67	  -3.49182
10/22/2015	13:43:33.71	  -3.43109
10/22/2015	13:43:33.75	  -3.44574
10/22/2015	13:43:33.79	  -3.42804
10/22/2015	13:43:33.83	  -3.41644
10/22/2015	13:43:33.87	  -3.44971
10/22/2015	13:43:33.91	  -3.38196
10/22/2015	13:43:33.95	  -3.40546
10/22/2015	13:43:33.99	  -3.37128
10/22/2015	13:43:34.03	  -3.36304
10/22/2015	13:43:34.07	  -3.38745
10/22/2015	13:43:34.11	  -3.32764
10/22/2015	13:43:34.15	  -3.34137
10/22/2015	13:43:34.19	  -3.32642
10/22/2015	13:43:34.23	  -3.30811
10/22/2015	13:43:34.27	  -3.33557
10/22/2015	13:43:34.31	  -3.26965
10/22/2015	13:43:34.35	  -3.29132
10/22/2015	13:43:34.39	  -3.26630
10/22/2015	13:43:34.43	  -3.25073
10/22/2015	13:43:34.47	  -3.28003
10/22/2015	13:43:34.51	  -3.21289
10/22/2015	13:43:34.55	  -3.23242
10/22/2015	13:43:34.59	  -3.20831
10/22/2015	13:43:34.63	  -3.20190
10/22/2015	13:43:34.67	  -3.22571
10/22/2015	13:43:34.71	  -3.15094
10/22/2015	13:43:34.75	  -3.16132
10/22/2015	13:43:34.79	  -3.13477
10/22/2015	13:43:34.83	  -3.12714
10/22/2015	13:43:34.87	  -3.14972
10/22/2015	13:43:34.91	  -3.08014
10/22/2015	13:43:34.95	  -3.09631
10/22/2015	13:43:34.99	  -3.06396
10/22/2015	13:43:35.03	  -3.05237
10/22/2015	13:43:35.07	  -3.08716
10/22/2015	13:43:35.11	  -3.01758
10/22/2015	13:43:35.15	  -3.03223
10/22/2015	13:43:35.19	  -3.00232
10/22/2015	13:43:35.23	  -2.99011
10/22/2015	13:43:35.27	  -3.02002
10/22/2015	13:43:35.31	  -2.94739
10/22/2015	13:43:35.35	  -2.96570
10/22/2015	13:43:35.39	  -2.92999
10/22/2015	13:43:35.43	  -2.91565
10/22/2015	13:43:35.47	  -2.94556
10/22/2015	13:43:35.51	  -2.87537
10/22/2015	13:43:35.55	  -2.90253
10/22/2015	13:43:35.59	  -2.86133
10/22/2015	13:43:35.63	  -2.85431
10/22/2015	13:43:35.67	  -2.87109
10/22/2015	13:43:35.71	  -2.80487
10/22/2015	13:43:35.75	  -2.82471
10/22/2015	13:43:35.79	  -2.79175
10/22/2015	13:43:35.83	  -2.78229
10/22/2015	13:43:35.87	  -2.79327
10/22/2015	13:43:35.91	  -2.72400
10/22/2015	13:43:35.95	  -2.73865
10/22/2015	13:43:35.99	  -2.71179
10/22/2015	13:43:36.03	  -2.69012
10/22/2015	13:43:36.07	  -2.71271
10/22/2015	13:43:36.11	  -2.63977
10/22/2015	13:43:36.15	  -2.66479
10/22/2015	13:43:36.19	  -2.62512
10/22/2015	13:43:36.23	  -2.61780
10/22/2015	13:43:36.27	  -2.63519
10/22/2015	13:43:36.31	  -2.56805
10/22/2015	13:43:36.35	  -2.58789
10/22/2015	13:43:36.39	  -2.54669
10/22/2015	13:43:36.43	  -2.52930
10/22/2015	13:43:36.47	  -2.55341
10/22/2015	13:43:36.51	  -2.48230
10/22/2015	13:43:36.55	  -2.50214
10/22/2015	13:43:36.59	  -2.46002
10/22/2015	13:43:36.63	  -2.45300
10/22/2015	13:43:36.67	  -2.46643
10/22/2015	13:43:36.71	  -2.39349
10/22/2015	13:43:36.75	  -2.42004
10/22/2015	13:43:36.79	  -2.38037
10/22/2015	13:43:36.83	  -2.36023
10/22/2015	13:43:36.87	  -2.37305
10/22/2015	13:43:36.91	  -2.31018
10/22/2015	13:43:36.95	  -2.33093
10/22/2015	13:43:36.99	  -2.29767
10/22/2015	13:43:37.03	  -2.27631
10/22/2015	13:43:37.07	  -2.28760
10/22/2015	13:43:37.11	  -2.21649
10/22/2015	13:43:37.15	  -2.24152
10/22/2015	13:43:37.19	  -2.20062
10/22/2015	13:43:37.23	  -2.18903
10/22/2015	13:43:37.27	  -2.20215
10/22/2015	13:43:37.31	  -2.12769
10/22/2015	13:43:37.35	  -2.15607
10/22/2015	13:43:37.39	  -2.11304
10/22/2015	13:43:37.43	  -2.10327
10/22/2015	13:43:37.47	  -2.11304
10/22/2015	13:43:37.51	  -2.03918
10/22/2015	13:43:37.55	  -2.06757
10/22/2015	13:43:37.59	  -2.01447
10/22/2015	13:43:37.63	  -2.00226
10/22/2015	13:43:37.67	  -2.01263
10/22/2015	13:43:37.71	  -1.94946
10/22/2015	13:43:37.75	  -1.97449
10/22/2015	13:43:37.79	  -1.92596
10/22/2015	13:43:37.83	  -1.90552
10/22/2015	13:43:37.87	  -1.91193
10/22/2015	13:43:37.91	  -1.85638
10/22/2015	13:43:37.95	  -1.90063
10/22/2015	13:43:37.99	  -1.86798
10/22/2015	13:43:38.03	  -1.86951
10/22/2015	13:43:38.07	  -1.89758
10/22/2015	13:43:38.11	  -1.84845
10/22/2015	13:43:38.15	  -1.89117
