Cycle,Time,Load (kN),Actuator (mm),External (mm),On-Specimen LVDT (mm)
1,0.000,-0.0013,-7.815800,-0.359522,-0.228586
1,0.050,-0.1847,-7.822437,-0.355153,-0.229647
1,0.100,-0.3211,-7.830276,-0.348799,-0.230917
1,0.150,-0.3820,-7.836685,-0.343218,-0.231752
1,0.200,-0.4924,-7.845211,-0.335956,-0.232878
1,0.250,-0.5577,-7.851334,-0.330375,-0.233370
1,0.300,-0.6256,-7.859173,-0.323361,-0.234148
1,0.350,-0.7112,-7.866440,-0.317040,-0.234568
1,0.400,-0.7361,-7.872734,-0.310906,-0.234934
1,0.450,-0.8274,-7.880859,-0.304151,-0.235338
1,0.500,-0.8426,-7.886810,-0.298386,-0.235338
1,0.550,-0.9381,-7.895107,-0.291200,-0.235678
1,0.600,-0.9818,-7.901516,-0.285524,-0.235476
1,0.650,-1.0304,-7.909126,-0.278498,-0.235607
1,0.700,-1.0995,-7.916050,-0.272325,-0.235418
1,0.750,-1.1195,-7.922573,-0.266169,-0.235170
1,0.800,-1.1991,-7.930813,-0.259321,-0.235022
1,0.850,-1.2061,-7.936306,-0.253420,-0.234545
1,0.900,-1.2857,-7.944374,-0.246459,-0.234312
1,0.950,-1.2966,-7.949924,-0.240807,-0.233618
1,1.000,-1.3600,-7.958050,-0.233720,-0.233322
1,1.050,-1.4046,-7.964172,-0.227903,-0.232611
1,1.100,-1.4319,-7.971268,-0.221173,-0.232088
1,1.150,-1.4978,-7.978592,-0.214556,-0.231468
1,1.200,-1.4983,-7.984486,-0.208482,-0.230654
1,1.250,-1.5620,-7.991982,-0.201861,-0.229942
1,1.300,-1.5618,-7.997589,-0.195971,-0.229004
1,1.350,-1.6266,-8.005772,-0.188924,-0.228292
1,1.400,-1.6564,-8.011551,-0.183239,-0.227173
1,1.450,-1.6811,-8.019333,-0.176261,-0.226379
1,1.500,-1.7373,-8.026714,-0.169830,-0.225361
1,1.550,-1.7278,-8.032436,-0.163685,-0.224276
1,1.600,-1.7918,-8.040161,-0.156918,-0.223280
1,1.650,-1.7749,-8.045769,-0.151119,-0.222017
1,1.700,-1.8349,-8.053780,-0.144223,-0.220995
1,1.750,-1.8400,-8.059616,-0.138483,-0.219570
1,1.800,-1.8758,-8.066998,-0.131553,-0.218510
1,1.850,-1.9196,-8.074207,-0.125271,-0.217190
1,1.900,-1.9090,-8.080673,-0.118892,-0.215891
1,1.950,-1.9608,-8.088055,-0.112409,-0.214542
1,2.000,-1.9403,-8.093719,-0.106321,-0.213051
1,2.050,-1.9973,-8.101559,-0.099414,-0.211758
1,2.100,-1.9753,-8.106995,-0.093677,-0.210146
1,2.150,-2.0251,-8.115120,-0.086702,-0.208763
1,2.200,-2.0548,-8.121815,-0.080686,-0.207153
1,2.250,-2.0435,-8.128223,-0.074114,-0.205641
1,2.300,-2.0885,-8.135319,-0.067665,-0.204067
1,2.350,-2.0692,-8.141670,-0.061406,-0.202394
1,2.400,-2.1188,-8.149166,-0.054663,-0.200819
1,2.450,-2.0907,-8.154488,-0.048841,-0.199011
1,2.500,-2.1342,-8.161926,-0.041917,-0.197443
1,2.550,-2.1430,-8.168163,-0.036115,-0.195543
1,2.600,-2.1487,-8.175488,-0.029181,-0.193932
1,2.650,-2.1856,-8.182240,-0.023025,-0.192045
1,2.700,-2.1629,-8.188248,-0.016529,-0.190248
1,2.750,-2.2038,-8.195229,-0.010109,-0.188408
1,2.800,-2.1725,-8.200836,-0.004038,-0.186460
1,2.850,-2.2192,-8.208675,0.002906,-0.184668
1,2.900,-2.2061,-8.214397,0.008655,-0.182604
1,2.950,-2.2236,-8.221493,0.015554,-0.180794
1,3.000,-2.2595,-8.227730,0.021783,-0.178780
1,3.050,-2.2318,-8.234138,0.028224,-0.176767
1,3.100,-2.2665,-8.240719,0.034619,-0.174721
1,3.150,-2.2365,-8.246899,0.040759,-0.172583
1,3.200,-2.2791,-8.254452,0.047618,-0.170649
1,3.250,-2.2422,-8.259659,0.053367,-0.168354
1,3.300,-2.2837,-8.267384,0.060302,-0.166346
1,3.350,-2.2901,-8.273849,0.066238,-0.164085
1,3.400,-2.2816,-8.280373,0.073019,-0.161978
1,3.450,-2.3052,-8.287354,0.079133,-0.159704
1,3.500,-2.2821,-8.293476,0.085515,-0.157484
1,3.550,-2.3195,-8.301029,0.092297,-0.155348
1,3.600,-2.2771,-8.306351,0.098245,-0.152973
1,3.650,-2.3180,-8.314190,0.104946,-0.150740
1,3.700,-2.3194,-8.320198,0.110937,-0.148285
1,3.750,-2.3131,-8.327236,0.117758,-0.146030
1,3.800,-2.3360,-8.333931,0.123856,-0.143593
1,3.850,-2.3088,-8.340225,0.130285,-0.141216
1,3.900,-2.3450,-8.347321,0.136913,-0.138847
1,3.950,-2.2997,-8.352757,0.142954,-0.136328
1,4.000,-2.3378,-8.360138,0.149673,-0.133884
1,4.050,-2.3177,-8.365860,0.155606,-0.131277
1,4.100,-2.3310,-8.373299,0.162509,-0.128859
1,4.150,-2.3357,-8.379192,0.168450,-0.126240
1,4.200,-2.3197,-8.385715,0.175092,-0.123669
1,4.250,-2.3482,-8.392754,0.181506,-0.121067
1,4.300,-2.3096,-8.398533,0.187857,-0.118414
1,4.350,-2.3440,-8.405857,0.194294,-0.115778
1,4.400,-2.3029,-8.411236,0.200342,-0.113052
1,4.450,-2.3346,-8.418903,0.207235,-0.110462
1,4.500,-2.3292,-8.424568,0.213144,-0.107611
1,4.550,-2.3223,-8.431549,0.219867,-0.104959
1,4.600,-2.3472,-8.438358,0.226242,-0.102163
1,4.650,-2.3064,-8.444138,0.232504,-0.099344
1,4.700,-2.3408,-8.451633,0.239226,-0.096582
1,4.750,-2.2912,-8.457069,0.245167,-0.093639
1,4.800,-2.3285,-8.464680,0.251938,-0.090857
1,4.850,-2.3286,-8.470573,0.257915,-0.087870
1,4.900,-2.3120,-8.476925,0.264783,-0.085047
1,4.950,-2.3211,-8.482876,0.270698,-0.081968
1,5.000,-2.1767,-8.485565,0.275385,-0.078814
1,5.050,-1.5306,-8.469658,0.268337,-0.074871
1,5.100,-1.4147,-8.461761,0.261970,-0.071751
1,5.150,-1.2366,-8.451920,0.254492,-0.068903
1,5.200,-1.1201,-8.444138,0.248361,-0.066795
1,5.250,-1.0230,-8.436699,0.241439,-0.064745
1,5.300,-0.9093,-8.428802,0.235361,-0.063246
1,5.350,-0.8472,-8.421707,0.228805,-0.061813
1,5.400,-0.7359,-8.413296,0.221987,-0.060461
1,5.450,-0.7001,-8.407345,0.216264,-0.059589
1,5.500,-0.5943,-8.399105,0.209322,-0.058630
1,5.550,-0.5429,-8.392925,0.203643,-0.058067
1,5.600,-0.4744,-8.384800,0.196611,-0.057352
1,5.650,-0.4064,-8.378220,0.190792,-0.057007
1,5.700,-0.3693,-8.371124,0.184089,-0.056536
1,5.750,-0.2926,-8.363628,0.177545,-0.056318
1,5.800,-0.2789,-8.357220,0.171364,-0.056206
1,5.850,-0.1974,-8.349380,0.164476,-0.056040
1,5.900,-0.1921,-8.344059,0.159005,-0.056253
1,5.950,-0.1243,-8.335762,0.151706,-0.056177
1,6.000,-0.0908,-8.330040,0.146311,-0.056553
1,6.050,-0.0572,-8.322315,0.139205,-0.056717
1,6.100,0.0140,-8.315277,0.132540,-0.056984
1,6.150,0.0051,-8.309383,0.126653,-0.057545
1,6.200,0.0734,-8.301544,0.119706,-0.057894
1,6.250,0.0597,-8.296051,0.114218,-0.058729
1,6.300,0.1225,-8.288212,0.107043,-0.059187
1,6.350,0.1294,-8.282547,0.101565,-0.060108
1,6.400,0.1667,-8.275051,0.094377,-0.060778
1,6.450,0.2139,-8.268013,0.088227,-0.061684
1,6.500,0.2033,-8.262119,0.081852,-0.062632
1,6.550,0.2608,-8.254280,0.075117,-0.063519
1,6.600,0.2390,-8.248901,0.069351,-0.064699
1,6.650,0.2930,-8.240948,0.062294,-0.065584
1,6.700,0.2747,-8.235512,0.056668,-0.066889
1,6.750,0.3227,-8.228245,0.049625,-0.067993
1,6.800,0.3493,-8.221893,0.043769,-0.069290
1,6.850,0.3415,-8.215828,0.037088,-0.070452
1,6.900,0.3841,-8.208790,0.030700,-0.071657
1,6.950,0.3648,-8.202839,0.024569,-0.072968
1,7.000,0.4091,-8.195114,0.017605,-0.074102
1,7.050,0.3917,-8.190022,0.012014,-0.075663
1,7.100,0.4251,-8.181953,0.004779,-0.076820
1,7.150,0.4384,-8.176403,-0.000684,-0.078354
1,7.200,0.4430,-8.169365,-0.007605,-0.079554
1,7.250,0.4839,-8.162384,-0.014326,-0.080822
1,7.300,0.4579,-8.156548,-0.020345,-0.082365
1,7.350,0.5042,-8.148823,-0.027265,-0.083616
1,7.400,0.4751,-8.143959,-0.032732,-0.085287
1,7.450,0.5158,-8.136120,-0.039926,-0.086473
1,7.500,0.5033,-8.130856,-0.045284,-0.088129
1,7.550,0.5269,-8.123360,-0.052426,-0.089409
1,7.600,0.5624,-8.116322,-0.058916,-0.090786
1,7.650,0.5412,-8.110371,-0.065050,-0.092276
1,7.700,0.5822,-8.102760,-0.071847,-0.093626
1,7.750,0.5550,-8.097725,-0.077556,-0.095234
1,7.800,0.5964,-8.090057,-0.084778,-0.096464
1,7.850,0.5727,-8.085251,-0.090097,-0.098120
1,7.900,0.6080,-8.077412,-0.097266,-0.099392
1,7.950,0.6283,-8.071117,-0.103215,-0.100895
1,8.000,0.6208,-8.064594,-0.109903,-0.102301
1,8.050,0.6580,-8.057556,-0.116493,-0.103638
1,8.100,0.6359,-8.052120,-0.122331,-0.105249
1,8.150,0.6755,-8.044109,-0.129354,-0.106546
1,8.200,0.6503,-8.038960,-0.134904,-0.108200
1,8.250,0.6915,-8.031063,-0.142040,-0.109510
1,8.300,0.7052,-8.025169,-0.147812,-0.111141
1,8.350,0.7055,-8.018188,-0.154694,-0.112476
1,8.400,0.7351,-8.011665,-0.160959,-0.113945
