Project Name:,0-6815,Specimen ID/Lab #,Type D OT4,Technician:,IA,Date:,10/7/2015 11:02 AM,File Version,1.2
Specimen Diamenter:,0.00,inch,Specimen Height:,1.50,Specimen Width:,3.00,Specimen Length:,6.00,Specimen Density:,
Gage 1 Length:,0.000,inch,Gage 2 Length:,0.000,Gage 3 Length:,0.000,Gage 4 Length:,0.000,Load Drop,99
Test Frame:,SWI Overlay,Unit System:,SAE(Inch/lb-f/F),Remarks:,99%, 1000,Loading/Unloading Time,5.000000,sec,Temperature:,23.0,F

Actuator PID:,5.000000,0.000000,0.000000,Load PID:,6.000000,0.017000,0.000000,Pressure PID:,5.000000,0.000000,0.000000

Actuator,5KIP,TEMP,Time
0.00000000/0.01996300/0.00000000/0.00000000/0,5.00000000/496.44200000/0.00000000/0.00000000/2,0.00000000/1.00000000/0.00000000/0.00000000/7,sec
[NEW],0.000000,-0.010072,-0.010072,0.000000,6250.000000,0.000000,625.000000,0.000000,10.000000,0.000000,0.000000,1.000000
-0.113298,-4.382325,76.820000,0.000800
-0.113284,0.442375,76.820000,0.500800
-0.113234,0.023468,76.820000,1.000800
-0.113250,-0.830905,76.820000,1.500800
-0.113270,-0.328274,76.820000,2.000800
-0.113254,-1.255458,76.820000,2.500800
-0.113237,1.830180,76.820000,3.000800
-0.113246,-0.376292,77.000000,3.500800
-0.113270,1.916826,77.000000,4.000800
-0.113227,-0.379192,77.000000,4.500800
[NEW],5.000000,0.631168,0.631168,0.100000,12500000.593718,0.000000,50.000000,0.000000,5.700000,0.000000,0.000000,0.000000
-0.113260,3.030898,77.000000,5.000800
-0.113233,-0.407836,77.000000,5.041600
-0.113263,5.146379,77.000000,5.081600
-0.113183,20.995148,77.000000,5.121600
-0.113023,73.985649,77.000000,5.161600
-0.112855,127.231098,77.000000,5.201600
-0.112645,177.010396,77.000000,5.241600
-0.112423,219.059812,77.000000,5.281600
-0.112219,272.281914,77.000000,5.321600
-0.111991,318.272470,77.000000,5.361600
-0.111744,364.325402,77.000000,5.401600
-0.111539,395.050970,77.000000,5.441600
-0.111349,421.536491,77.000000,5.481600
-0.111164,447.925845,77.000000,5.521600
-0.110982,475.045338,77.000000,5.561600
-0.110793,501.542133,77.000000,5.601600
-0.110588,531.771650,77.000000,5.641600
-0.110356,560.703220,77.000000,5.681600
-0.110138,589.634080,77.000000,5.721600
-0.109905,615.517855,77.000000,5.761600
-0.109714,634.743823,77.000000,5.801600
-0.109530,649.575876,77.000000,5.841600
-0.109366,658.498875,77.000000,5.881600
-0.109175,673.645473,77.000000,5.921600
-0.108948,692.747340,77.000000,5.961600
-0.108684,708.926459,77.000000,6.001600
-0.108446,727.593705,77.000000,6.041600
-0.108250,712.133273,77.000000,6.081600
-0.108110,709.969042,77.000000,6.121600
-0.107918,720.488790,77.000000,6.161600
-0.107753,734.716255,77.000000,6.201600
-0.107512,751.169440,77.000000,6.241600
-0.107252,747.984819,77.000000,6.281600
-0.107080,758.801416,77.000000,6.321600
-0.106899,756.664763,77.000000,6.361600
-0.106739,764.422320,77.000000,6.401600
-0.106502,780.028277,77.000000,6.441600
-0.106290,797.270160,77.000000,6.481600
-0.106055,792.098731,77.000000,6.521600
-0.105885,810.347866,77.000000,6.561600
-0.105700,801.892867,77.000000,6.601600
-0.105550,809.694277,77.000000,6.641600
-0.105360,832.168367,77.000000,6.681600
-0.105123,854.465685,77.000000,6.721600
-0.104898,873.190513,77.000000,6.761600
-0.104675,890.103352,77.000000,6.801600
-0.104467,898.795784,77.000000,6.841600
-0.104286,903.307646,77.000000,6.881600
-0.104116,918.488154,77.000000,6.921600
-0.103929,933.978294,77.000000,6.961600
-0.103724,945.358349,77.000000,7.001600
-0.103506,954.542689,77.000000,7.041600
-0.103276,968.707008,77.000000,7.081600
-0.103075,983.113080,77.000000,7.121600
-0.102862,986.986917,77.000000,7.161600
-0.102648,987.705309,77.000000,7.201600
-0.102501,1004.453864,77.000000,7.241600
-0.102317,1003.308484,77.000000,7.281600
-0.102100,1025.398789,77.000000,7.321600
-0.101903,1033.455149,77.000000,7.361600
-0.101638,1040.573852,77.000000,7.401600
-0.101443,1067.346755,77.000000,7.441600
-0.101232,1064.815960,77.000000,7.481600
-0.101073,1050.722598,77.000000,7.521600
-0.100862,1072.208788,77.000000,7.561600
-0.100710,1064.640430,77.000000,7.601600
-0.100488,1085.942687,77.000000,7.641600
-0.100283,1088.303161,77.000000,7.681600
-0.100072,1103.177114,77.000000,7.721600
-0.099848,1094.449056,77.000000,7.761600
-0.099618,1115.244727,77.000000,7.801600
-0.099437,1112.511890,77.000000,7.841600
-0.099251,1095.696935,77.000000,7.881600
-0.099085,1109.388817,77.000000,7.921600
-0.098873,1115.187204,77.000000,7.961600
-0.098667,1109.545764,77.000000,8.001600
-0.098437,1117.701192,77.000000,8.041600
-0.098229,1120.047107,77.000000,8.081600
-0.098012,1134.997521,77.000000,8.121600
-0.097815,1117.446242,77.000000,8.161600
-0.097639,1121.600950,77.000000,8.201600
-0.097451,1115.466773,77.000000,8.241600
-0.097261,1112.736185,77.000000,8.281600
-0.097046,1120.660690,77.000000,8.321600
