Project Name:,Project Name,Specimen ID/Lab #,Specimen ID,Technician:,Your Name Here,Date:,3/16/2016 6:14 AM,File Version,1.2
Specimen Diamenter:,0.00,inch,Specimen Height:,1.50,Specimen Width:,3.00,Specimen Length:,6.00,Specimen Density:,
Gage 1 Length:,0.000,inch,Gage 2 Length:,0.000,Gage 3 Length:,0.000,Gage 4 Length:,0.000,Load Drop,93
Test Frame:,SWI Overlay,Unit System:,SAE(Inch/lb-f/F),Remarks:,Your Remarks Here,Loading/Unloading Time,5.000000,sec,Temperature:,77.0,F

Actuator PID:,4.000000,0.000000,0.000000,Load PID:,-5.000000,0.000000,0.000000,Pressure PID:,0.000000,0.000000,0.000000

Actuator,Load 5kip,Temperature,Time
0.00000000/-0.00956500/0.00000000/0.00000000/0,-11.06230000/492.22300000/0.00000000/0.00000000/2,0.00000000/1.00000000/0.00000000/0.00000000/7,sec
[NEW],0.000000,0.022474,0.022474,0.000000,6250.000000,0.000000,625.000000,0.000000,-5.000000,0.000000,0.000000,1.000000
-0.001026,-1.459975,77.360000,0.499200
-0.001022,-1.339185,77.360000,0.999200
-0.001025,-1.224762,77.180000,1.499200
-0.001023,-1.154979,77.180000,1.999200
-0.001020,-1.277370,77.180000,2.499200
-0.001022,-1.089277,77.180000,2.999200
-0.001023,-1.321392,77.180000,3.499200
-0.001020,-1.102098,77.180000,3.999200
-0.001020,-1.009769,77.180000,4.499200
-0.001022,-1.125847,77.180000,4.999200
[NEW],5.000000,-1.317303,-1.317303,0.100000,12500000.593718,0.000000,50.000000,0.000000,4.000000,0.000000,0.000000,0.000000
-0.001017,-1.322183,77.180000,5.040000
-0.000989,12.981519,77.180000,5.080000
-0.000774,87.479567,77.180000,5.120000
-0.000575,143.366417,77.180000,5.160000
-0.000370,196.095871,77.180000,5.200000
-0.000164,242.503098,77.180000,5.240000
0.000035,283.426702,77.180000,5.280000
0.000240,320.099792,77.180000,5.320000
0.000443,349.905173,77.180000,5.360000
0.000650,374.659854,77.180000,5.400000
0.000848,398.768319,77.180000,5.440000
0.001045,424.523805,77.180000,5.480000
0.001248,448.975533,77.180000,5.520000
0.001452,469.756248,77.180000,5.560000
0.001654,489.744170,77.180000,5.600000
0.001860,507.624336,77.180000,5.640000
0.002056,523.533463,77.180000,5.680000
0.002259,540.212734,77.180000,5.720000
0.002460,556.848173,77.180000,5.760000
0.002661,572.315870,77.180000,5.800000
0.002865,586.884978,77.180000,5.840000
0.003066,601.148318,77.180000,5.880000
0.003266,613.639126,77.180000,5.920000
0.003471,627.094828,77.180000,5.960000
0.003670,639.389302,77.180000,6.000000
0.003873,650.531289,77.180000,6.040000
0.004072,662.413200,77.180000,6.080000
0.004274,673.803100,77.180000,6.120000
0.004479,683.831270,77.180000,6.160000
0.004680,693.174204,77.180000,6.200000
0.004884,701.571197,77.180000,6.240000
0.005081,709.815569,77.180000,6.280000
0.005286,718.192494,77.180000,6.320000
0.005487,725.484940,77.180000,6.360000
0.005693,732.923377,77.180000,6.400000
0.005893,739.566908,77.180000,6.440000
0.006094,745.552312,77.180000,6.480000
0.006295,750.302142,77.180000,6.520000
0.006497,753.769693,77.180000,6.560000
0.006698,757.716286,77.180000,6.600000
0.006899,760.761417,77.180000,6.640000
0.007104,763.532405,77.180000,6.680000
0.007306,766.508237,77.180000,6.720000
0.007507,768.809102,77.180000,6.760000
0.007710,771.884099,77.180000,6.800000
0.007910,774.433932,77.180000,6.840000
0.008111,777.143251,77.180000,6.880000
0.008315,779.193738,77.180000,6.920000
0.008514,780.611329,77.180000,6.960000
0.008719,782.468532,77.180000,7.000000
0.008918,783.174188,77.180000,7.040000
0.009120,784.667591,77.180000,7.080000
0.009324,785.813270,77.180000,7.120000
0.009523,786.079666,77.180000,7.160000
0.009729,787.084637,77.180000,7.200000
0.009931,787.369047,77.180000,7.240000
0.010127,787.765942,77.180000,7.280000
0.010331,788.235128,77.180000,7.320000
0.010531,788.091720,77.180000,7.360000
0.010734,788.825306,77.180000,7.400000
0.010935,788.447423,77.180000,7.440000
0.011138,788.563487,77.180000,7.480000
0.011338,788.084502,77.180000,7.520000
0.011546,788.074058,77.180000,7.560000
0.011746,787.769932,77.180000,7.600000
0.011947,787.388997,77.180000,7.640000
0.012143,786.488297,77.180000,7.680000
0.012347,786.264148,77.180000,7.720000
0.012552,785.793965,77.180000,7.760000
0.012749,785.032389,77.180000,7.800000
0.012957,784.690299,77.180000,7.840000
0.013156,783.360196,77.180000,7.880000
0.013360,781.835460,77.180000,7.920000
0.013556,779.372587,77.180000,7.960000
0.013758,777.987503,77.180000,8.000000
0.013961,777.281730,77.180000,8.040000
0.014166,776.533415,77.180000,8.080000
0.014364,775.036316,77.180000,8.120000
0.014570,773.777800,77.180000,8.160000
0.014770,772.366663,77.180000,8.200000
0.014974,771.347375,77.180000,8.240000
0.015168,769.773526,77.180000,8.280000
0.015372,768.267684,77.180000,8.320000
0.015578,766.698177,77.180000,8.360000
0.015779,765.653364,77.180000,8.400000
0.015977,763.969670,77.180000,8.440000
0.016181,762.270486,77.180000,8.480000
0.016380,760.158329,77.180000,8.520000
0.016586,758.727242,77.180000,8.560000
0.016787,757.001183,77.180000,8.600000
0.016984,755.328696,77.180000,8.640000
0.017190,753.465860,77.180000,8.680000
0.017395,751.416899,77.180000,8.720000
0.017596,749.296761,77.180000,8.760000
0.017795,748.052504,77.180000,8.800000
0.017994,745.442291,77.180000,8.840000
0.018197,743.903590,77.180000,8.880000
0.018396,741.708404,77.180000,8.920000
0.018603,739.677456,77.180000,8.960000
0.018803,737.891312,77.180000,9.000000
0.019004,735.469865,77.180000,9.040000
0.019207,732.998719,77.180000,9.080000
0.019411,731.400166,77.180000,9.120000
0.019607,727.611180,77.180000,9.160000
0.019811,725.720883,77.180000,9.200000
0.020009,723.720858,77.180000,9.240000
0.020214,721.170497,77.180000,9.280000
0.020418,718.312020,77.180000,9.320000
0.020617,715.779321,77.180000,9.360000
0.020820,713.684591,77.180000,9.400000
0.021018,710.502038,77.180000,9.440000
0.021247,696.612239,77.180000,9.480000
0.021432,675.497884,77.180000,9.520000
0.021627,667.366701,77.180000,9.560000
0.021832,663.209161,77.180000,9.600000
0.022035,659.027623,77.180000,9.640000
0.022231,654.993952,77.180000,9.680000
0.022435,650.981580,77.180000,9.720000
0.022639,647.683491,77.180000,9.760000
0.022837,644.472362,77.180000,9.800000
0.023041,641.541946,77.180000,9.840000
0.023243,638.663460,77.180000,9.880000
0.023439,634.915960,77.180000,9.920000
0.023646,631.873411,77.180000,9.960000
0.023851,629.777566,77.180000,10.000000
0.023981,614.203722,77.180000,10.040000
0.024049,595.990913,77.180000,10.080000
0.023990,558.174344,77.180000,10.120000
0.023818,514.296091,77.180000,10.160000
0.023616,474.832179,77.180000,10.200000
0.023399,439.707384,77.180000,10.240000
0.023183,408.537369,77.180000,10.280000
0.022975,380.870081,77.180000,10.320000
0.022768,355.301747,77.180000,10.360000
0.022557,332.527756,77.180000,10.400000
0.022353,311.287127,77.180000,10.440000
0.022148,291.273856,77.180000,10.480000
0.021944,272.551815,77.180000,10.520000
