Project Name:,Project Name,Specimen ID/Lab #,Specimen ID,Technician:,Your Name Here,Date:,8/23/2016 6:34,File Version,1.2,,,
Specimen Diamenter:,0,inch,Specimen Height:,1.5,Specimen Width:,3,Specimen Length:,6,Specimen Density:,,,
Gage 1 Length:,0,inch,Gage 2 Length:,0,Gage 3 Length:,0,Gage 4 Length:,0,Load Drop,93,,
Test Frame:,SWI Overlay,Unit System:,SAE(Inch/lb-f/F),Remarks:,Your Remarks Here,Loading/Unloading Time,5,sec,Temperature:,77,F,
,,,,,,,,,,,,
Actuator PID:,-6,0,0,Load PID:,-3,0,0,Pressure PID:,3,0,0,
,,,,,,,,,,,,
Actuator,Load Cell,Temperature,Time,,,,,,,,,
0.00000000/0.02250000/0.00000000/0.00000000/0,11.34490000/198.56000000/0.00000000/0.00000000/2,0.00000000/1.00000000/0.00000000/0.00000000/7,sec,,,,,,,,,
[NEW],0,-0.057136,-0.057136,0,6250,0,625,0,-3,0,0,1
0.085976,-2.742909,78.26,0.4992,,,,,,,,,
0.085963,-4.561919,78.26,0.9992,,,,,,,,,
0.085933,-5.438759,78.26,1.4992,,,,,,,,,
0.085926,-5.712474,78.26,1.9992,,,,,,,,,
0.085931,-5.722585,78.26,2.4992,,,,,,,,,
0.085918,-5.718169,78.08,2.9992,,,,,,,,,
0.085973,-5.514561,78.08,3.4992,,,,,,,,,
0.085952,-5.38563,78.08,3.9992,,,,,,,,,
0.085908,-5.918314,78.08,4.4992,,,,,,,,,
0.085938,-5.764448,78.08,4.9992,,,,,,,,,
[NEW],5,0.555556,0.555556,0.1,12500000.59,0,50,0,-6,0,0,0
0,0,78.08,5.04,,,,,,,,,
0.1,100,78.08,5.08,,,,,,,,,
0.2,200,78.08,5.12,,,,,,,,,
0.3,300,78.08,5.16,,,,,,,,,
0.4,400,78.08,5.2,,,,,,,,,
0.5,500,78.08,5.24,,,,,,,,,
0.6,600,78.08,5.28,,,,,,,,,
0.7,700,78.08,5.32,,,,,,,,,
0.8,800,78.08,5.36,,,,,,,,,
0.9,900,78.08,5.4,,,,,,,,,
1,1000,78.08,5.44,,,,,,,,,
1.1,1100,78.08,5.48,,,,,,,,,
1.2,1200,78.08,5.52,,,,,,,,,
1.3,1300,78.08,5.56,,,,,,,,,
1.4,1400,78.08,5.6,,,,,,,,,
1.5,1500,78.08,5.64,,,,,,,,,
1.6,1600,78.08,5.68,,,,,,,,,
1.7,1700,78.08,5.72,,,,,,,,,
1.8,1800,78.08,5.76,,,,,,,,,
1.9,1900,78.08,5.8,,,,,,,,,
2,2000,78.08,5.84,,,,,,,,,
2.1,2100,78.08,5.88,,,,,,,,,
2.2,2200,78.08,5.92,,,,,,,,,
2.3,2300,78.08,5.96,,,,,,,,,
2.4,2400,78.08,6,,,,,,,,,
2.5,2500,78.08,6.04,,,,,,,,,
2.6,2600,78.08,6.08,,,,,,,,,
2.7,2700,78.08,6.12,,,,,,,,,
2.8,2800,78.08,6.16,,,,,,,,,
2.9,2900,78.08,6.2,,,,,,,,,
3,3000,78.08,6.24,,,,,,,,,
3.1,3100,78.08,6.28,,,,,,,,,
3.2,3200,78.08,6.32,,,,,,,,,
3.3,3300,78.08,6.36,,,,,,,,,
3.4,3400,78.08,6.4,,,,,,,,,
3.5,3500,78.08,6.44,,,,,,,,,
3.6,3600,78.08,6.48,,,,,,,,,
3.7,3700,78.08,6.52,,,,,,,,,
3.8,3800,78.08,6.56,,,,,,,,,
3.9,3900,78.08,6.6,,,,,,,,,
4,4000,78.08,6.64,,,,,,,,,
4.1,4100,78.08,6.68,,,,,,,,,
4.2,4200,78.08,6.72,,,,,,,,,
4.3,4300,78.08,6.76,,,,,,,,,
4.4,4400,78.08,6.8,,,,,,,,,
4.5,4500,78.08,6.84,,,,,,,,,
4.6,4600,78.08,6.88,,,,,,,,,
4.7,4700,78.08,6.92,,,,,,,,,
4.8,4800,78.08,6.96,,,,,,,,,
4.9,4900,78.08,7,,,,,,,,,
5,5000,78.08,7.04,,,,,,,,,
5.1,5100,78.08,7.08,,,,,,,,,
5.2,5200,78.08,7.12,,,,,,,,,
5.3,5300,78.08,7.16,,,,,,,,,
5.4,5400,78.08,7.2,,,,,,,,,
5.5,5500,78.08,7.24,,,,,,,,,
5.6,5600,78.08,7.28,,,,,,,,,
5.7,5700,78.08,7.32,,,,,,,,,
5.8,5800,78.08,7.36,,,,,,,,,
5.9,5900,78.08,7.4,,,,,,,,,
6,6000,78.08,7.44,,,,,,,,,
6.1,6100,78.08,7.48,,,,,,,,,
6.2,6200,78.08,7.52,,,,,,,,,
6.3,6300,78.08,7.56,,,,,,,,,
6.4,6400,77.9,7.6,,,,,,,,,
6.5,6500,77.9,7.64,,,,,,,,,
6.6,6600,77.9,7.68,,,,,,,,,
6.7,6700,77.9,7.72,,,,,,,,,
6.8,6800,77.9,7.76,,,,,,,,,
6.9,6900,77.9,7.8,,,,,,,,,
7,7000,77.9,7.84,,,,,,,,,
7.1,7100,77.9,7.88,,,,,,,,,
7.2,7200,77.9,7.92,,,,,,,,,
7.3,7300,77.9,7.96,,,,,,,,,
7.4,7400,77.9,8,,,,,,,,,
7.5,7500,77.9,8.04,,,,,,,,,
7.6,7600,77.9,8.08,,,,,,,,,
7.7,7700,77.9,8.12,,,,,,,,,
7.8,7800,77.9,8.16,,,,,,,,,
7.9,7900,77.9,8.2,,,,,,,,,
8,8000,77.9,8.24,,,,,,,,,
8.1,8100,77.9,8.28,,,,,,,,,
8.2,8200,77.9,8.32,,,,,,,,,
8.3,8300,77.9,8.36,,,,,,,,,
8.4,8400,77.9,8.4,,,,,,,,,
8.5,8500,77.9,8.44,,,,,,,,,
8.6,8600,77.9,8.48,,,,,,,,,
8.7,8700,77.9,8.52,,,,,,,,,
8.8,8800,77.9,8.56,,,,,,,,,
8.9,8900,77.9,8.6,,,,,,,,,
9,9000,77.9,8.64,,,,,,,,,
9.1,9100,77.9,8.68,,,,,,,,,
9.2,9200,77.9,8.72,,,,,,,,,
9.3,9300,77.9,8.76,,,,,,,,,
9.4,9400,77.9,8.8,,,,,,,,,
9.5,9500,77.9,8.84,,,,,,,,,
9.6,9600,77.9,8.88,,,,,,,,,
9.7,9700,77.9,8.92,,,,,,,,,
9.8,9800,77.9,8.96,,,,,,,,,
9.9,9900,77.9,9,,,,,,,,,
10,10000,77.9,9.04,,,,,,,,,
10,10000,77.9,9.08,,,,,,,,,
10,10000,77.9,9.12,,,,,,,,,
0.106076,849.542159,77.9,9.16,,,,,,,,,
0.106264,847.265465,77.9,9.2,,,,,,,,,
0.106508,846.37859,77.9,9.24,,,,,,,,,
0.106699,844.294003,77.9,9.28,,,,,,,,,
0.106863,842.108771,77.9,9.32,,,,,,,,,
0.107087,840.671327,77.9,9.36,,,,,,,,,
0.107275,838.351932,77.9,9.4,,,,,,,,,
0.107491,837.187737,77.9,9.44,,,,,,,,,
0.107665,834.195635,77.9,9.48,,,,,,,,,
0.107899,832.078762,77.9,9.52,,,,,,,,,
0.108103,829.872983,77.9,9.56,,,,,,,,,
0.108266,827.75327,77.9,9.6,,,,,,,,,
0.108465,826.296606,77.9,9.64,,,,,,,,,
0.108694,823.969447,77.9,9.68,,,,,,,,,
0.108904,821.65952,77.9,9.72,,,,,,,,,
0.109063,819.035915,77.9,9.76,,,,,,,,,
0.109263,816.613223,77.9,9.8,,,,,,,,,
0.109467,814.925444,77.9,9.84,,,,,,,,,
0.109695,812.573573,77.9,9.88,,,,,,,,,
0.109911,810.355391,77.9,9.92,,,,,,,,,
0.110118,807.908177,77.9,9.96,,,,,,,,,
0.110329,805.165653,77.9,10,,,,,,,,,
0.110418,789.462656,77.9,10.04,,,,,,,,,
0.110518,767.11283,77.9,10.08,,,,,,,,,
0.110598,746.287412,77.9,10.12,,,,,,,,,
0.110522,694.341651,77.9,10.16,,,,,,,,,
0.110356,645.464731,77.9,10.2,,,,,,,,,
0.110203,601.603478,77.9,10.24,,,,,,,,,
0.110042,558.758103,77.9,10.28,,,,,,,,,
0.109853,517.812024,77.9,10.32,,,,,,,,,
0.109691,478.979978,77.9,10.36,,,,,,,,,
0.109492,442.603714,77.9,10.4,,,,,,,,,
0.109252,409.173728,77.9,10.44,,,,,,,,,
0.109022,377.42842,77.9,10.48,,,,,,,,,
0.108826,348.568675,77.9,10.52,,,,,,,,,
0.108649,321.38549,77.9,10.56,,,,,,,,,
0.108465,295.867621,77.9,10.6,,,,,,,,,
0.108252,272.695753,77.9,10.64,,,,,,,,,
0.108023,249.863222,77.9,10.68,,,,,,,,,
0.107799,228.781219,77.9,10.72,,,,,,,,,
0.107625,209.302707,77.9,10.76,,,,,,,,,
0.1074,190.279987,77.9,10.8,,,,,,,,,
0.107203,173.292586,77.9,10.84,,,,,,,,,
0.106997,156.95686,77.9,10.88,,,,,,,,,
0.106792,141.146127,77.9,10.92,,,,,,,,,
0.1066,126.293316,77.9,10.96,,,,,,,,,
0.106423,112.427812,77.9,11,,,,,,,,,
0.106234,99.465314,77.9,11.04,,,,,,,,,
0.106045,86.743015,77.9,11.08,,,,,,,,,
0.105805,74.156855,77.9,11.12,,,,,,,,,
0.105586,62.492922,77.9,11.16,,,,,,,,,
0.105435,51.466993,77.9,11.2,,,,,,,,,
0.105227,41.456316,77.9,11.24,,,,,,,,,
0.10499,30.921227,77.9,11.28,,,,,,,,,
0.104831,21.416351,77.9,11.32,,,,,,,,,
0.104592,12.08711,77.9,11.36,,,,,,,,,
0.104431,3.47272,77.9,11.4,,,,,,,,,
0.104197,-4.743934,77.9,11.44,,,,,,,,,
0.104002,-12.847063,77.9,11.48,,,,,,,,,
0.103829,-20.645865,77.9,11.52,,,,,,,,,
0.103591,-28.067782,77.9,11.56,,,,,,,,,
0.103384,-35.388424,77.9,11.6,,,,,,,,,
0.103192,-41.868655,77.9,11.64,,,,,,,,,
0.103,-48.426465,77.9,11.68,,,,,,,,,
0.102803,-54.721707,77.9,11.72,,,,,,,,,
0.102636,-60.867189,77.9,11.76,,,,,,,,,
0.102439,-67.116991,77.9,11.8,,,,,,,,,
0.102211,-72.370727,77.9,11.84,,,,,,,,,
0.102006,-78.485851,77.9,11.88,,,,,,,,,
0.101785,-83.972691,77.9,11.92,,,,,,,,,
0.101592,-89.080347,77.9,11.96,,,,,,,,,
0.101423,-94.339415,77.9,12,,,,,,,,,
0.101237,-98.948227,77.9,12.04,,,,,,,,,
0.101015,-104.381472,77.9,12.08,,,,,,,,,
0.100776,-109.444219,77.9,12.12,,,,,,,,,
0.100576,-114.092951,77.9,12.16,,,,,,,,,
0.100417,-118.919541,77.9,12.2,,,,,,,,,
0.100248,-123.019527,77.9,12.24,,,,,,,,,
0.100041,-127.578004,77.9,12.28,,,,,,,,,
0.099825,-132.255425,77.9,12.32,,,,,,,,,
0.099633,-136.842649,77.9,12.36,,,,,,,,,
