Project Name:,Project Name,Specimen ID/Lab #,Specimen ID,Technician:,Your Name Here,Date:,8/23/2016 6:34 AM,File Version,1.2
Specimen Diamenter:,0.00,inch,Specimen Height:,1.50,Specimen Width:,3.00,Specimen Length:,6.00,Specimen Density:,
Gage 1 Length:,0.000,inch,Gage 2 Length:,0.000,Gage 3 Length:,0.000,Gage 4 Length:,0.000,Load Drop,93
Test Frame:,SWI Overlay,Unit System:,SAE(Inch/lb-f/F),Remarks:,Your Remarks Here,Loading/Unloading Time,5.000000,sec,Temperature:,77.0,F

Actuator PID:,-6.000000,0.000000,0.000000,Load PID:,-3.000000,0.000000,0.000000,Pressure PID:,3.000000,0.000000,0.000000

Actuator,Load Cell,Temperature,Time
0.00000000/0.02250000/0.00000000/0.00000000/0,11.34490000/198.56000000/0.00000000/0.00000000/2,0.00000000/1.00000000/0.00000000/0.00000000/7,sec
[NEW],0.000000,-0.057136,-0.057136,0.000000,6250.000000,0.000000,625.000000,0.000000,-3.000000,0.000000,0.000000,1.000000
0.085976,-2.742909,78.260000,0.499200
0.085963,-4.561919,78.260000,0.999200
0.085933,-5.438759,78.260000,1.499200
0.085926,-5.712474,78.260000,1.999200
0.085931,-5.722585,78.260000,2.499200
0.085918,-5.718169,78.080000,2.999200
0.085973,-5.514561,78.080000,3.499200
0.085952,-5.385630,78.080000,3.999200
0.085908,-5.918314,78.080000,4.499200
0.085938,-5.764448,78.080000,4.999200
[NEW],5.000000,0.555556,0.555556,0.100000,12500000.593718,0.000000,50.000000,0.000000,-6.000000,0.000000,0.000000,0.000000
0.085899,-5.908496,78.080000,5.040000
0.085905,-6.267160,78.080000,5.080000
0.085914,-1.333095,78.080000,5.120000
0.086003,39.178622,78.080000,5.160000
0.086190,102.468671,78.080000,5.200000
0.086446,160.961029,78.080000,5.240000
0.086660,211.029424,78.080000,5.280000
0.086862,256.150404,78.080000,5.320000
0.087061,295.901162,78.080000,5.360000
0.087220,333.045760,78.080000,5.400000
0.087424,367.262284,78.080000,5.440000
0.087629,398.295805,78.080000,5.480000
0.087871,428.301850,78.080000,5.520000
0.088080,456.178998,78.080000,5.560000
0.088275,481.364797,78.080000,5.600000
0.088457,505.620026,78.080000,5.640000
0.088631,527.870106,78.080000,5.680000
0.088845,550.205824,78.080000,5.720000
0.089072,569.759915,78.080000,5.760000
0.089277,588.226456,78.080000,5.800000
0.089446,606.547188,78.080000,5.840000
0.089638,623.343702,78.080000,5.880000
0.089880,639.963825,78.080000,5.920000
0.090088,655.140350,78.080000,5.960000
0.090270,669.540919,78.080000,6.000000
0.090459,683.630225,78.080000,6.040000
0.090634,696.038520,78.080000,6.080000
0.090830,708.928173,78.080000,6.120000
0.091043,720.707078,78.080000,6.160000
0.091266,731.242541,78.080000,6.200000
0.091490,742.856607,78.080000,6.240000
0.091691,752.136176,78.080000,6.280000
0.091865,761.622859,78.080000,6.320000
0.092054,770.134331,78.080000,6.360000
0.092270,778.176091,78.080000,6.400000
0.092481,786.294779,78.080000,6.440000
0.092668,793.382298,78.080000,6.480000
0.092850,800.437484,78.080000,6.520000
0.093045,806.988543,78.080000,6.560000
0.093244,813.431570,78.080000,6.600000
0.093460,819.249704,78.080000,6.640000
0.093684,824.991999,78.080000,6.680000
0.093877,830.764971,78.080000,6.720000
0.094063,835.153425,78.080000,6.760000
0.094280,840.391167,78.080000,6.800000
0.094444,844.453824,78.080000,6.840000
0.094680,848.340660,78.080000,6.880000
0.094886,852.350486,78.080000,6.920000
0.095075,857.046369,78.080000,6.960000
0.095307,860.178599,78.080000,7.000000
0.095472,864.127166,78.080000,7.040000
0.095700,866.652587,78.080000,7.080000
0.095881,869.169770,78.080000,7.120000
0.096084,871.113661,78.080000,7.160000
0.096272,873.215670,78.080000,7.200000
0.096450,874.936398,78.080000,7.240000
0.096671,876.785230,78.080000,7.280000
0.096880,878.792463,78.080000,7.320000
0.097100,881.076921,78.080000,7.360000
0.097302,882.125510,78.080000,7.400000
0.097500,883.837244,78.080000,7.440000
0.097704,884.374747,78.080000,7.480000
0.097895,885.084948,78.080000,7.520000
0.098113,886.023329,78.080000,7.560000
0.098309,887.039822,77.900000,7.600000
0.098461,887.200779,77.900000,7.640000
0.098653,887.403964,77.900000,7.680000
0.098861,887.913063,77.900000,7.720000
0.099069,887.410876,77.900000,7.760000
0.099274,888.127799,77.900000,7.800000
0.099512,888.324924,77.900000,7.840000
0.099715,887.679675,77.900000,7.880000
0.099903,887.088677,77.900000,7.920000
0.100051,885.479766,77.900000,7.960000
0.100269,884.490636,77.900000,8.000000
0.100500,884.761139,77.900000,8.040000
0.100713,883.565037,77.900000,8.080000
0.100870,882.996384,77.900000,8.120000
0.101063,882.201728,77.900000,8.160000
0.101264,881.499765,77.900000,8.200000
0.101494,880.402131,77.900000,8.240000
0.101653,879.298721,77.900000,8.280000
0.101882,878.792936,77.900000,8.320000
0.102111,877.696248,77.900000,8.360000
0.102305,876.914090,77.900000,8.400000
0.102462,876.088001,77.900000,8.440000
0.102695,874.508157,77.900000,8.480000
0.102898,873.599316,77.900000,8.520000
0.103052,872.139149,77.900000,8.560000
0.103319,870.650010,77.900000,8.600000
0.103478,869.352694,77.900000,8.640000
0.103664,868.010309,77.900000,8.680000
0.103862,866.913148,77.900000,8.720000
0.104057,865.285207,77.900000,8.760000
0.104275,863.414504,77.900000,8.800000
0.104466,862.669366,77.900000,8.840000
0.104660,860.487353,77.900000,8.880000
0.104856,858.663706,77.900000,8.920000
0.105074,857.751930,77.900000,8.960000
0.105279,856.443915,77.900000,9.000000
0.105489,854.996814,77.900000,9.040000
0.105701,853.480217,77.900000,9.080000
0.105901,852.108861,77.900000,9.120000
0.106076,849.542159,77.900000,9.160000
0.106264,847.265465,77.900000,9.200000
0.106508,846.378590,77.900000,9.240000
0.106699,844.294003,77.900000,9.280000
0.106863,842.108771,77.900000,9.320000
0.107087,840.671327,77.900000,9.360000
0.107275,838.351932,77.900000,9.400000
0.107491,837.187737,77.900000,9.440000
0.107665,834.195635,77.900000,9.480000
0.107899,832.078762,77.900000,9.520000
0.108103,829.872983,77.900000,9.560000
0.108266,827.753270,77.900000,9.600000
0.108465,826.296606,77.900000,9.640000
0.108694,823.969447,77.900000,9.680000
0.108904,821.659520,77.900000,9.720000
0.109063,819.035915,77.900000,9.760000
0.109263,816.613223,77.900000,9.800000
0.109467,814.925444,77.900000,9.840000
0.109695,812.573573,77.900000,9.880000
0.109911,810.355391,77.900000,9.920000
0.110118,807.908177,77.900000,9.960000
0.110329,805.165653,77.900000,10.000000
0.110418,789.462656,77.900000,10.040000
0.110518,767.112830,77.900000,10.080000
0.110598,746.287412,77.900000,10.120000
0.110522,694.341651,77.900000,10.160000
0.110356,645.464731,77.900000,10.200000
0.110203,601.603478,77.900000,10.240000
0.110042,558.758103,77.900000,10.280000
0.109853,517.812024,77.900000,10.320000
0.109691,478.979978,77.900000,10.360000
0.109492,442.603714,77.900000,10.400000
0.109252,409.173728,77.900000,10.440000
0.109022,377.428420,77.900000,10.480000
0.108826,348.568675,77.900000,10.520000
0.108649,321.385490,77.900000,10.560000
0.108465,295.867621,77.900000,10.600000
